Variable,FED000_041123_00.CSV,FED000_041223_00.CSV,FED011_041123_00.CSV,FED011_041223_00.CSV,FED015_041123_00.CSV,FED017_041123_01.CSV,FED017_041223_00.CSV,FED019_041123_00.CSV,FED019_041223_00.CSV,Average,STD
Pellets Taken,105.0,127.0,84.0,108.0,115.0,92.0,88.0,84.0,78.0,97.88888888888889,16.609067135486903
Pellets Taken (Night),67.0,90.0,47.0,56.0,92.0,49.0,62.0,46.0,46.0,61.666666666666664,18.200274723201296
Pellets Taken (Day),38.0,37.0,37.0,52.0,23.0,43.0,26.0,38.0,32.0,36.22222222222222,8.657045942147034
Pellets per Hour,4.844104417361885,5.7152143205370205,4.037275373154255,4.827055347254984,5.531727261795005,4.066747706928942,3.9489429597128045,3.731398534093433,3.524715687997389,4.4696868454261915,0.7910217479426884
Pellets per Hour (Night),5.7646805764680575,7.562495623555773,4.144722337897753,4.589119053038925,7.759347764970481,4.057690980608654,5.225086031322425,3.9017953913576173,3.8300529638966623,5.203887858124038,1.5331646371037486
Pellets per Hour (Day),3.779840848806366,3.5850783226570497,3.908565392177,5.11251911732576,2.5748670584942626,4.077117572692794,2.4955341669555016,3.544041450777202,3.1623157374619124,3.582208851927539,0.7988840434890655
Number of Meals,60.0,58.0,35.0,63.0,68.0,44.0,58.0,54.0,54.0,54.888888888888886,9.993053142614178
Number of Meals (Night),36.0,37.0,20.0,27.0,54.0,21.0,40.0,34.0,29.0,33.111111111111114,10.493384159131462
Number of Meals (Day),24.0,21.0,15.0,36.0,14.0,23.0,18.0,20.0,25.0,21.77777777777778,6.553201083779167
Average Pellets per Meal,1.7333333333333334,2.1724137931034484,2.3714285714285714,1.6984126984126984,1.6764705882352942,2.0681818181818183,1.5,1.537037037037037,1.4259259259259258,1.798133751739792,0.32905502196490405
Average Pellets per Meal (Night),1.8611111111111112,2.4324324324324325,2.35,2.074074074074074,1.7037037037037037,2.3333333333333335,1.55,1.3529411764705883,1.5862068965517242,1.9159780808529965,0.39718544383110216
Average Pellets per Meal (Day),1.5416666666666667,1.7142857142857142,2.4,1.4166666666666667,1.5714285714285714,1.826086956521739,1.3888888888888888,1.85,1.24,1.6610026071620276,0.343726415614229
% Pellets within Meals,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
% Pellets within Meals (Night),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
% Pellets within Meals (Day),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
Total Pokes,167.0,226.0,117.0,157.0,154.0,156.0,152.0,128.0,156.0,157.0,30.286135441815617
Total Pokes (Night),82.0,109.0,59.0,81.0,120.0,60.0,77.0,64.0,57.0,78.77777777777777,22.548712700383682
Total Pokes (Day),84.0,116.0,57.0,76.0,33.0,95.0,74.0,63.0,98.0,77.33333333333333,24.68805379125702
Correct Pokes (%),0.008023952095808383,0.008053097345132744,0.00829059829059829,0.007452229299363057,0.008376623376623376,0.007756410256410257,0.007105263157894737,0.007890625,0.006217948717948718,0.007685194171086617,0.0006787279976890179
Correct Pokes (%) (Night),87.8048780487805,90.82568807339449,84.7457627118644,75.30864197530865,83.33333333333334,91.66666666666666,85.71428571428571,78.125,82.45614035087719,84.4422663193901,5.413671476576218
Correct Pokes (%) (Day),75.0,73.27586206896551,85.96491228070175,75.0,90.9090909090909,71.57894736842105,59.45945945945946,82.53968253968253,53.06122448979592,74.08768656845746,12.042523455409064
Recording Duration (Hours),21.675833333333333,22.22138888888889,20.80611111111111,22.37388888888889,20.789166666666667,22.6225,22.284444444444443,22.511666666666667,22.129444444444445,21.934938271604935,0.697697488770572
Battery Change (V),0.5099999999999998,-0.0600000000000005,-0.05999999999999961,-0.0600000000000005,-0.04999999999999982,-0.05000000000000071,-0.04999999999999982,-0.07000000000000028,-0.04999999999999982,0.006666666666666525,0.18887826767524102
Battery Rate (V/hour),0.023528507170043435,-0.0027001012537970397,-0.002883768123681592,-0.0026816974151416804,-0.002405098809476081,-0.0022101889711570654,-0.0022437175907459037,-0.0031094987784112066,-0.0022594331333316516,0.0003372225660334684,0.008702320591753309
Motor Turns (Mean),1.4761904761904763,1.4960629921259843,1.369047619047619,1.5833333333333333,1.4869565217391305,1.3804347826086956,1.3522727272727273,1.7380952380952381,1.5128205128205128,1.4883571336926353,0.12072612887696292
Motor Turns (Median),1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.1111111111111112,0.33333333333333337
Motor Turns Above 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
