SEX,MOUSEID,DIET,CAS20 over CAS5,CAS20 over SUC,CAS5 over SUC,CAS5 over SUC Prog
F,FEDXDF1,PR,0.632768362,0.9842931937172775,0.9036697247706422,0.6666666666666666
F,FEDXDF2,PR,0.7564102564102564,0.7,0.7898089171974523,0.6209677419354839
F,FEDXDF3,PR,0.555,0.6789473684210526,0.7735849056603774,0.5675675675675675
F,FEDXDF4,PR,0.7391304347826086,0.7485380116959064,0.8421052631578947,0.6504065040650406
F,FEDXDF5,PR,0.6575342465753424,0.6263736263736264,0.7368421052631579,0.5339805825242718
F,FEDXDF6,PR,0.7680412371134021,0.8816326530612245,0.8613445378151261,0.5979381443298969
F,FEDXDF7,PR,0.6945812807881774,0.880184332,0.9010416666666666,0.6220472440944882
F,FEDXDF8,PR,0.5952380952380952,0.6885245901639344,0.8427672955974843,0.6057692307692307
F,FEDXDF9,PR,0.5567010309278351,0.8325123152709359,0.8942307692307693,0.6349206349206349
F,FEDXDF10,PR,0.48322147651006714,0.5161290322580645,0.6012269938650306,0.5094339622641509
F,FEDXDF11,NR,0.5654761904761905,0.8203592814371258,0.930379747,0.671875
F,FEDXDF12,NR,0.7191011235955056,0.8695652173913043,0.7431693989071039,0.5688073394495413
F,FEDXDF13,NR,0.7484276729559748,0.7151898734177216,0.784,0.6296296296296297
F,FEDXDF14,NR,0.5454545454545454,0.7712765957446809,0.8481012658227848,0.7112676056338029
F,FEDXDF15,NR,0.6601941747572816,0.7522935779816514,0.8255813953488372,0.6187050359712231
F,FEDXDF16,NR,0.7093596059113301,0.7978142076502732,0.8192771084337349,0.6148148148148148
F,FEDXDF17,NR,0.3850267379679144,0.7692307692307693,0.8603351955307262,0.5693430656934306
F,FEDXDF18,NR,0.4623115577889447,0.5625,0.7333333333333333,0.6026490066225165
F,FEDXDF19,NR,0.7027027027027027,0.7314285714285714,0.7988505747126436,0.6405228758169934
F,FEDXDF20,NR,0.6772486772486772,0.71,0.8192090395480226,0.5641025641025641
M,FEDXDM1,PR,0.6055045871559633,0.6852791878172588,0.8267326732673267,0.5657894736842105
M,FEDXDM2,PR,0.7817258883248731,0.8743718592964824,0.98989899,0.6074074074074074
M,FEDXDM3,PR,0.8198198198198198,0.8202764976958525,0.9121338912133892,0.6518987341772152
M,FEDXDM4,PR,0.7357512953367875,0.7828054298642534,0.8812785388127854,0.6713286713286714
M,FEDXDM5,PR,0.4672897196261682,0.7896995708154506,0.8928571428571429,0.5912408759124088
M,FEDXDM6,PR,0.5260869565217391,0.7522935779816514,0.8636363636363636,0.5878378378378378
M,FEDXDM7,PR,0.6212121212121212,0.7903930131004366,0.8728323699421965,0.6608695652173913
M,FEDXDM8,PR,0.7611940298507462,0.8041666666666667,0.9342723004694836,0.593103448
M,FEDXDM9,PR,0.6956521739130435,0.9424778761061947,0.9454545454545454,0.68
M,FEDXDM10,PR,0.48295454545454547,0.7453703703703703,0.8375634517766497,0.5982142857142857
M,FEDXDM11,NR,0.5283018867924528,0.61875,0.844720497,0.7046979865771812
M,FEDXDM12,NR,0.6069364161849711,0.7361963190184049,0.8299319727891157,0.6324786324786325
M,FEDXDM13,NR,0.6764705882352942,0.7606382978723404,0.7300613496932515,0.646551724
M,FEDXDM14,NR,0.5227272727272727,0.90052356,0.875,0.5735294117647058
M,FEDXDM15,NR,0.5121951219512195,0.8378378378378378,0.9285714285714286,0.6546762589928058
M,FEDXDM16,NR,0.6506024096385542,0.6666666666666666,0.7790697674418605,0.6
M,FEDXDM17,NR,0.6864864864864865,0.7514792899408284,0.7931034482758621,0.5968992248062015
M,FEDXDM18,NR,,,0.8516129032258064,0.7019867549668874
M,FEDXDM19,NR,0.5,0.6073298429319371,0.7926829268292683,0.5882352941176471
M,FEDXDM20,NR,0.5032258064516129,0.5793103448275863,0.7919463087248322,0.5979381443298969
