,MOUSEID,SEX,DIET,CHOICE_SESSION,PELLET_TYPE,COUNT,MEAL_SIZE,SNACK_SIZE,NUMBER_OF_MEALS,MEAL_FREQUENCY,NUMBER_OF_SNACKS,SNACK_FREQUENCY,NUMBER_OF_MEGA_MEALS,AVERAGE_MEGA_MEAL_SIZE,MEALS_HOUR_0,MEALS_HOUR_1,MEALS_HOUR_2,MEALS_HOUR_3,MEALS_HOUR_4,MEALS_HOUR_5,MEALS_HOUR_6,MEALS_HOUR_7,MEALS_HOUR_8,MEALS_HOUR_9,MEALS_HOUR_10,MEALS_HOUR_11,MEALS_HOUR_12,MEALS_HOUR_13,MEALS_HOUR_14,MEALS_HOUR_15,MEALS_HOUR_16,MEALS_HOUR_17,MEALS_HOUR_18,MEALS_HOUR_19,MEALS_HOUR_20,MEALS_HOUR_21,MEALS_HOUR_22,MEALS_HOUR_23
227,FEDXDM3,M,PR,1.0,CAS20,182,3.0,1.0,31,1.368368135169268,15,0.6621136137915813,11,6.7272727272727275,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,3.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0
228,FEDXDM4,M,PR,1.0,CAS20,142,2.6,1.0,30,1.3303933283238276,22,0.9756217741041402,7,6.0,2.0,2.0,0.0,1.0,3.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0
229,FEDXDM5,M,PR,1.0,CAS20,100,2.8947368421052633,1.0,19,0.8377322441181153,15,0.6613675611458805,5,6.0,2.0,1.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0
230,FEDXDM6,M,PR,1.0,CAS20,121,3.0,1.0,21,0.9507998792635074,19,0.8602475098098401,6,6.5,4.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0
231,FEDXDM7,M,PR,1.0,CAS20,123,2.730769230769231,1.0,26,1.1592049043284414,17,0.7579416682147502,6,5.833333333333333,1.0,1.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,3.0,1.0
232,FEDXDM8,M,PR,1.0,CAS20,153,2.793103448275862,1.0,29,1.2945144330919551,14,0.6249380021823232,8,7.25,0.0,2.0,0.0,3.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0
233,FEDXDM9,M,PR,1.0,CAS20,160,3.15,1.0,20,0.8977220303479919,12,0.5386332182087952,13,6.538461538461538,1.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0
234,FEDXDM10,M,PR,1.0,CAS20,85,2.727272727272727,1.0,22,0.9931532616055977,15,0.6771499510947258,2,5.0,3.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0
235,FEDXDM1,M,PR,1.0,CAS5,86,2.6363636363636362,1.0,22,0.9777053551588771,18,0.7999407451299905,2,5.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,2.0
236,FEDXDM2,M,PR,1.0,CAS5,43,2.2142857142857144,1.0,14,0.6857236152872828,7,0.3428618076436414,1,5.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
237,FEDXDM3,M,PR,1.0,CAS5,40,2.0,1.0,10,0.4648100089088585,20,0.929620017817717,0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
238,FEDXDM4,M,PR,1.0,CAS5,51,2.1666666666666665,1.0,12,0.5481120584652862,20,0.9135200974421437,1,5.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
239,FEDXDM5,M,PR,1.0,CAS5,114,2.739130434782609,1.0,23,1.0179994098554146,14,0.6196518146946002,5,7.4,2.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0
240,FEDXDM6,M,PR,1.0,CAS5,109,2.4583333333333335,1.0,24,1.0769978684417187,27,1.2116226019969334,3,7.666666666666667,2.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,2.0
241,FEDXDM7,M,PR,1.0,CAS5,75,2.45,1.0,20,0.8952885440370052,20,0.8952885440370052,1,6.0,2.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0
242,FEDXDM8,M,PR,1.0,CAS5,48,2.7142857142857144,1.0,7,0.3144497130022461,19,0.8535063638632394,2,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
243,FEDXDM9,M,PR,1.0,CAS5,70,2.6666666666666665,1.0,12,0.5365126676602087,20,0.8941877794336811,3,6.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
244,FEDXDM10,M,PR,1.0,CAS5,91,2.4814814814814814,1.0,27,1.216779540077363,13,0.5858568155928044,2,5.5,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0,4.0,2.0,3.0,1.0,0.0,0.0,1.0
245,FEDXDM1,M,PR,2.0,CAS20,135,2.4583333333333335,1.0,24,1.085590792581796,24,1.085590792581796,8,6.5,2.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,1.0,3.0,2.0,2.0,0.0,1.0,0.0
246,FEDXDM2,M,PR,2.0,CAS20,174,2.8125,1.0,16,0.6938672256152651,20,0.8673340320190813,14,7.785714285714286,0.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
247,FEDXDM3,M,PR,2.0,CAS20,178,2.6666666666666665,1.0,24,1.073518631263745,14,0.6262192015705179,13,7.6923076923076925,2.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,4.0,0.0,2.0,1.0,2.0
248,FEDXDM4,M,PR,2.0,CAS20,173,2.787878787878788,1.0,33,1.440558762186545,20,0.873065916476694,10,6.1,1.0,4.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,3.0,3.0,0.0,2.0,0.0,3.0,0.0,1.0,1.0,2.0,3.0
249,FEDXDM5,M,PR,2.0,CAS20,184,2.9047619047619047,1.0,21,0.925257321894085,10,0.44059872471146905,14,8.071428571428571,1.0,0.0,1.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0
250,FEDXDM6,M,PR,2.0,CAS20,164,2.742857142857143,1.0,35,1.5162272415494398,14,0.606490896619776,10,5.4,3.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0
251,FEDXDM7,M,PR,2.0,CAS20,181,2.59375,1.0,32,1.3925657298277425,19,0.8268359020852221,12,6.583333333333333,0.0,4.0,2.0,1.0,0.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,4.0,1.0,0.0,2.0,4.0
