GROUP_KEY,MEAL_SIZE,SNACK_SIZE,NUMBER_OF_MEALS,MEAL_FREQUENCY,NUMBER_OF_SNACKS,SNACK_FREQUENCY,TOTAL_PELLETS
FEDXDF1_F_PR_1.0,6.0,1.485981308411215,3,0.13396678119999506,107,4.77814852946649,177
FEDXDF1_F_PR_2.0,5.5,1.4634146341463414,2,0.08976660682226212,123,5.52064631956912,191
FEDXDF1_F_PR_3.0,5.0,1.2682926829268293,2,0.08824286397117401,164,7.235914845636269,218
FEDXDF1_F_PR_4.0,0.0,1.0879120879120878,0,0.0,91,3.984238178633976,99
FEDXDF2_F_PR_1.0,5.5,1.6477272727272727,2,0.08364020770651581,88,3.6801691390866953,156
FEDXDF2_F_PR_2.0,6.0,1.3628318584070795,1,0.04556558279646107,113,5.148910856000101,160
FEDXDF2_F_PR_3.0,0.0,1.353448275862069,0,0.0,116,5.166526451229772,157
FEDXDF2_F_PR_4.0,0.0,1.0598290598290598,0,0.0,117,5.11251911732576,124
FEDXDF3_F_PR_1.0,5.0,1.52,2,0.08335359288716009,125,5.209599555447505,200
FEDXDF3_F_PR_2.0,7.25,1.5333333333333334,4,0.17624596103005974,105,4.626456477039068,190
FEDXDF3_F_PR_3.0,0.0,1.5436893203883495,0,0.0,103,4.578286476275141,159
FEDXDF3_F_PR_4.0,0.0,1.0776699029126213,0,0.0,103,4.540890053638345,111
FEDXDF4_F_PR_1.0,5.333333333333333,1.876543209876543,6,0.25153717160424816,81,3.3957518166573504,184
FEDXDF4_F_PR_2.0,5.0,1.711340206185567,1,0.04462127691220763,97,4.328263860484141,171
FEDXDF4_F_PR_3.0,5.0,1.3949579831932772,1,0.04440059200789344,119,5.283670448939319,171
FEDXDF4_F_PR_4.0,0.0,1.1941747572815533,0,0.0,103,4.526146184268346,123
FEDXDF5_F_PR_1.0,5.333333333333333,1.8055555555555556,3,0.13681970203709334,72,3.2836728488902405,146
FEDXDF5_F_PR_2.0,0.0,1.9157894736842105,0,0.0,95,4.33833976050335,182
FEDXDF5_F_PR_3.0,0.0,1.6132075471698113,0,0.0,106,4.691476413528566,171
FEDXDF5_F_PR_4.0,0.0,1.1573033707865168,0,0.0,89,3.9812617269530426,103
FEDXDF6_F_PR_1.0,5.25,1.8313253012048192,8,0.378663370892883,83,3.928632473013661,194
FEDXDF6_F_PR_2.0,5.75,1.8773584905660377,8,0.3606536848037067,106,4.778661323649113,245
FEDXDF6_F_PR_3.0,0.0,1.5256410256410255,0,0.0,156,7.390446111330438,238
FEDXDF6_F_PR_4.0,0.0,1.0898876404494382,0,0.0,89,4.038825160721038,97
FEDXDF7_F_PR_1.0,5.0,1.4887218045112782,1,0.04315925766076824,133,5.740181268882176,203
FEDXDF7_F_PR_2.0,0.0,1.4563758389261745,0,0.0,149,6.272217025257249,217
FEDXDF7_F_PR_3.0,0.0,1.2229299363057324,0,0.0,157,7.002242402467881,192
FEDXDF7_F_PR_4.0,0.0,1.0495867768595042,0,0.0,121,5.335293036928165,127
FEDXDF8_F_PR_1.0,0.0,1.75,0,0.0,96,4.097942728404577,168
FEDXDF8_F_PR_2.0,0.0,1.6194690265486726,0,0.0,113,4.935874880182487,183
FEDXDF8_F_PR_3.0,0.0,1.358974358974359,0,0.0,117,5.814226357273995,159
FEDXDF8_F_PR_4.0,0.0,1.0505050505050506,0,0.0,99,4.432505036937542,104
FEDXDF9_F_PR_1.0,5.5,1.3656716417910448,2,0.08555336391073932,134,5.732075382019534,194
FEDXDF9_F_PR_2.0,6.0,1.3263888888888888,2,0.08421840640059888,144,6.06372526084312,203
FEDXDF9_F_PR_3.0,5.0,1.2767295597484276,1,0.0448257399359988,159,7.12729264982381,208
FEDXDF9_F_PR_4.0,0.0,1.0327868852459017,0,0.0,122,5.358319303125687,126
FEDXDF10_F_PR_1.0,5.0,1.7560975609756098,1,0.04302720275374097,82,3.5282306258067595,149
FEDXDF10_F_PR_2.0,5.0,1.5603448275862069,1,0.04295583901106113,116,4.9828773252830905,186
FEDXDF10_F_PR_3.0,0.0,1.2936507936507937,0,0.0,126,5.961518242035538,163
FEDXDF10_F_PR_4.0,0.0,1.0707070707070707,0,0.0,99,4.361286848835643,106
FEDXDF11_F_NR_1.0,5.666666666666667,2.013333333333333,3,0.12752692235027394,75,3.1881730587568486,168
FEDXDF11_F_NR_2.0,5.8,1.8904109589041096,5,0.22148666773308398,73,3.233705348903026,167
FEDXDF11_F_NR_3.0,6.0,1.6222222222222222,2,0.08914642299977714,90,4.011589034989972,158
FEDXDF11_F_NR_4.0,0.0,1.28,0,0.0,100,4.3772722298554285,128
FEDXDF12_F_NR_1.0,5.4,1.5729166666666667,5,0.21242697822623471,96,4.078597981943707,178
FEDXDF12_F_NR_2.0,6.333333333333333,1.4864864864864864,3,0.13548775592131676,111,5.01304696908872,184
FEDXDF12_F_NR_3.0,5.75,1.3793103448275863,4,0.19130365469690327,116,5.547805986210195,183
FEDXDF12_F_NR_4.0,5.0,1.0947368421052632,1,0.043748253107948824,95,4.156084045255138,109
FEDXDF13_F_NR_1.0,0.0,1.4587155963302751,0,0.0,109,4.722987855517976,159
FEDXDF13_F_NR_2.0,0.0,1.4363636363636363,0,0.0,110,4.897474585075069,158
FEDXDF13_F_NR_3.0,0.0,1.2254901960784315,0,0.0,102,4.517271922054916,125
FEDXDF13_F_NR_4.0,0.0,1.0909090909090908,0,0.0,99,4.335397228946441,108
FEDXDF14_F_NR_1.0,5.0,1.4850746268656716,2,0.08314279775514447,134,5.570567449594679,209
