MOUSEID,SEX,DIET,CHOICE_SESSION,PELLET_TYPE,COUNT,MEAL_SIZE,SNACK_SIZE,NUMBER_OF_MEALS,MEAL_FREQUENCY,NUMBER_OF_SNACKS,SNACK_FREQUENCY
FEDXDM17,M,NR,0,MIX,316,8.777777777777779,2.721311475409836,36,0.7688018318364636,61,1.3026919928340077
FEDXDM18,M,NR,0,MIX,254,12.7,2.6736842105263157,20,0.9061847106501875,95,4.304377376
FEDXDM18,M,NR,0,MIX,267,9.206896551724139,2.459016393442623,29,0.646231554,61,1.3593146479152223
FEDXDM19,M,NR,0,MIX,263,15.470588235294118,2.698113208,17,0.772259237,106,4.815263477
FEDXDM19,M,NR,0,MIX,362,10.055555555555555,2.533333333333333,36,0.7701587263856619,90,1.9253968159641546
FEDXDM20,M,NR,0,MIX,234,19.5,2.6363636363636362,12,0.5423252193780835,99,4.47418306
FEDXDM20,M,NR,0,MIX,310,13.478260869565217,2.6542056074766354,23,0.5118346304343795,107,2.381143715
FEDXDM11,M,NR,1,CAS20,84,10.5,2.4642857142857144,8,0.3851245637260802,28,1.3479359730412808
FEDXDM12,M,NR,1,CAS20,105,52.5,2.593220338983051,2,0.09246417,59,2.727693018955155
FEDXDM13,M,NR,1,CAS20,115,57.5,2.582089552238806,2,0.09710571,67,3.2530412969007094
FEDXDM14,M,NR,1,CAS20,92,15.333333333333334,2.58974359,6,0.27504361223944074,39,1.7877834795563647
FEDXDM15,M,NR,1,CAS20,84,42,2.3773584905660377,2,0.08901857,53,2.3589921119655797
FEDXDM16,M,NR,1,CAS20,108,36,2.5254237288135593,3,0.13452244531911714,59,2.645608091
FEDXDM17,M,NR,1,CAS20,127,14.11111111111111,2.54,9,0.4058777105490624,50,2.254876169717013
FEDXDM19,M,NR,1,CAS20,88,22,2.1818181818181817,4,0.18152480839048002,55,2.495966115
FEDXDM20,M,NR,1,CAS20,78,78,2.3773584905660377,1,0.04532635,53,2.402296535052377
FEDXDM11,M,NR,1,CAS5,75,18.75,2.3684210526315788,4,0.19284336833083351,38,1.8320119991429185
FEDXDM12,M,NR,1,CAS5,68,68,2.4,1,0.046936114732724896,45,2.1121251629726205
FEDXDM13,M,NR,1,CAS5,55,0,2.4594594594594597,0,0,37,1.6544528629983855
FEDXDM14,M,NR,1,CAS5,84,16.8,2.5526315789473686,5,0.2404167223186857,38,1.8271670896220114
FEDXDM15,M,NR,1,CAS5,80,26.666666666666668,2.2452830188679247,3,0.14261756044739657,53,2.5195769012373392
FEDXDM16,M,NR,1,CAS5,58,58,2.3947368421052633,1,0.045334912,38,1.722726643075722
FEDXDM17,M,NR,1,CAS5,58,19.333333333333332,2.193548387096774,3,0.13842072209476694,31,1.430347461645925
FEDXDM19,M,NR,1,CAS5,88,0,2.298507462686567,0,0,67,3.032855939342881
FEDXDM20,M,NR,1,CAS5,77,38.5,2.306122448979592,2,0.090862054,49,2.2261203165028207
FEDXDM11,M,NR,2,CAS20,99,12.375,2.78125,8,0.3667014693524154,32,1.4668058774096615
FEDXDM12,M,NR,2,CAS20,120,120,2.3372093023255816,1,0.04389441,86,3.7749192220935193
FEDXDM13,M,NR,2,CAS20,143,17.875,2.719298245614035,8,0.35187176229107614,57,2.5070863063239175
FEDXDM14,M,NR,2,CAS20,172,15.636363636363637,2.656716417910448,11,0.48653430312561424,67,2.963436209946923
FEDXDM15,M,NR,2,CAS20,155,22.142857142857142,2.4657534246575343,7,0.3139521845839511,73,3.2740727820897755
FEDXDM16,M,NR,2,CAS20,110,27.5,2.4754098360655736,4,0.17534033071134597,61,2.673940043348026
FEDXDM17,M,NR,2,CAS20,127,21.166666666666668,2.690909090909091,6,0.26141575998160405,55,2.396311133164704
FEDXDM19,M,NR,2,CAS20,116,23.2,2.3043478260869565,5,0.21907138075823038,69,3.023185054463579
FEDXDM20,M,NR,2,CAS20,84,42,2.339622641509434,2,0.088178022,53,2.3367175731448935
FEDXDM11,M,NR,2,SUC,61,61,2.5714285714285716,1,0.043639537,35,1.5273838097316168
FEDXDM12,M,NR,2,SUC,43,0,2.076923076923077,0,0,39,1.7164443683753683
FEDXDM13,M,NR,2,SUC,45,45,2.3333333333333335,1,0.04407066,30,1.322119798743986
FEDXDM14,M,NR,2,SUC,19,0,2.0588235294117645,0,0,17,0.7880403291227258
FEDXDM15,M,NR,2,SUC,30,30,2.1904761904761907,1,0.050922978994271166,21,1.0693825588796946
