,MOUSEID,SEX,DIET,CHOICE_SESSION,PELLET_TYPE,COUNT,MEAL_SIZE,SNACK_SIZE,NUMBER_OF_MEALS,MEAL_FREQUENCY,NUMBER_OF_SNACKS,SNACK_FREQUENCY,NUMBER_OF_MEGA_MEALS,AVERAGE_MEGA_MEAL_SIZE,MEGA_MEAL_FREQUENCY,MEALS_HOUR_0,MEALS_HOUR_1,MEALS_HOUR_2,MEALS_HOUR_3,MEALS_HOUR_4,MEALS_HOUR_5,MEALS_HOUR_6,MEALS_HOUR_7,MEALS_HOUR_8,MEALS_HOUR_9,MEALS_HOUR_10,MEALS_HOUR_11,MEALS_HOUR_12,MEALS_HOUR_13,MEALS_HOUR_14,MEALS_HOUR_15,MEALS_HOUR_16,MEALS_HOUR_17,MEALS_HOUR_18,MEALS_HOUR_19,MEALS_HOUR_20,MEALS_HOUR_21,MEALS_HOUR_22,MEALS_HOUR_23
220,FEDXDM8,M,PR,0.0,MIX,298,3.7846153846153845,1.0,65,1.385361348418379,52,1.1082890787347033,10,9.2,0.2131325151412891,2.0,1.0,4.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,3.0,3.0,5.0,5.0,4.0,7.0,7.0,5.0,1.0,2.0,3.0,2.0,6.0
221,FEDXDM9,M,PR,0.0,MIX,317,3.235294117647059,1.0,85,3.755200215985372,42,1.855510694957478,8,7.375,0.35343060856332914,4.0,0.0,3.0,2.0,5.0,8.0,1.0,1.0,2.0,2.0,0.0,1.0,5.0,4.0,5.0,4.0,5.0,6.0,6.0,3.0,4.0,5.0,5.0,4.0
222,FEDXDM9,M,PR,0.0,MIX,303,7.72972972972973,1.0,37,0.8141958593372739,17,0.37408998942523397,27,9.333333333333334,0.5941429243812539,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0
223,FEDXDM10,M,PR,0.0,MIX,250,3.830508474576271,1.0,59,3.6254395248011466,24,1.4747550609360596,10,6.7,0.6144812753900248,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,4.0,7.0,5.0,5.0,4.0,4.0,3.0,1.0,4.0,5.0
224,FEDXDM10,M,PR,0.0,MIX,315,4.7,1.0,60,1.2787042463636848,33,0.7032873355000266,18,7.833333333333333,0.38361127390910543,5.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,5.0,7.0,6.0,4.0,6.0,1.0,2.0,4.0,1.0,3.0
225,FEDXDM1,M,PR,1.0,CAS20,132,2.911764705882353,1.0,34,1.5361252996322836,33,1.490945143760746,1,8.0,0.04518015587153776,1.0,1.0,0.0,1.0,2.0,3.0,0.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,0.0,0.0,2.0,1.0,2.0
226,FEDXDM2,M,PR,1.0,CAS20,154,3.657142857142857,1.0,35,1.5703087027505327,26,1.1665150363289671,5,7.8,0.22432981467864752,0.0,2.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,3.0,1.0,6.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0
227,FEDXDM3,M,PR,1.0,CAS20,182,2.7906976744186047,1.0,43,1.8980590262025332,62,2.736736270338536,2,7.0,0.08828181517221084,0.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,5.0,1.0,3.0,4.0,0.0,4.0,4.0,0.0,4.0,3.0,2.0
228,FEDXDM4,M,PR,1.0,CAS20,142,3.142857142857143,1.0,28,1.2417004397689058,54,2.39470799098289,3,7.0,0.13303933283238276,2.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0
229,FEDXDM5,M,PR,1.0,CAS20,100,3.2916666666666665,1.0,24,1.0581880978334088,21,0.9259145856042327,4,6.25,0.17636468297223482,2.0,1.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0
