MOUSE ID,SEX,DIET,CHOICE_SESSION,PELLET_TYPE,GROUP_KEY,MEAL_SIZE,NUMBER_OF_MEALS,MEAL_FREQUENCY,HOURLY_MEALS,TOTAL_PELLETS,MEALS_HOUR_0,MEALS_HOUR_1,MEALS_HOUR_2,MEALS_HOUR_3,MEALS_HOUR_4,MEALS_HOUR_5,MEALS_HOUR_6,MEALS_HOUR_7,MEALS_HOUR_8,MEALS_HOUR_9,MEALS_HOUR_10,MEALS_HOUR_11,MEALS_HOUR_12,MEALS_HOUR_13,MEALS_HOUR_14,MEALS_HOUR_15,MEALS_HOUR_16,MEALS_HOUR_17,MEALS_HOUR_18,MEALS_HOUR_19,MEALS_HOUR_20,MEALS_HOUR_21,MEALS_HOUR_22,MEALS_HOUR_23
FEDXDM5,M,PR,1.0,,FEDXDM5_M_PR_1.0,2.3010752688172045,93,4.100478879104459,"[4.0, 1.0, 3.0, 3.0, 9.0, 12.0, 5.0, 0.0, 6.0, 0.0, 4.0, 5.0, 5.0, 4.0, 3.0, 3.0, 1.0, 6.0, 5.0, 4.0, 4.0, 1.0, 2.0, 3.0]",214,4.0,1.0,3.0,3.0,9.0,12.0,5.0,0.0,6.0,0.0,4.0,5.0,5.0,4.0,3.0,3.0,1.0,6.0,5.0,4.0,4.0,1.0,2.0,3.0
FEDXDM5,M,PR,2.0,,FEDXDM5_M_PR_2.0,2.9125,80,3.477085043705027,"[4.0, 2.0, 3.0, 8.0, 9.0, 6.0, 2.0, 0.0, 6.0, 0.0, 2.0, 1.0, 5.0, 3.0, 5.0, 6.0, 0.0, 6.0, 0.0, 4.0, 1.0, 0.0, 2.0, 5.0]",233,4.0,2.0,3.0,8.0,9.0,6.0,2.0,0.0,6.0,0.0,2.0,1.0,5.0,3.0,5.0,6.0,0.0,6.0,0.0,4.0,1.0,0.0,2.0,5.0
FEDXDM5,M,PR,3.0,,FEDXDM5_M_PR_3.0,2.8,70,3.0671486471683647,"[6.0, 0.0, 3.0, 4.0, 10.0, 2.0, 3.0, 0.0, 2.0, 2.0, 1.0, 3.0, 4.0, 5.0, 4.0, 2.0, 2.0, 1.0, 3.0, 3.0, 4.0, 2.0, 1.0, 3.0]",196,6.0,0.0,3.0,4.0,10.0,2.0,3.0,0.0,2.0,2.0,1.0,3.0,4.0,5.0,4.0,2.0,2.0,1.0,3.0,3.0,4.0,2.0,1.0,3.0
FEDXDM5,M,PR,4.0,,FEDXDM5_M_PR_4.0,1.2342342342342343,111,4.964036820333172,"[10.0, 5.0, 5.0, 0.0, 4.0, 7.0, 3.0, 0.0, 2.0, 2.0, 2.0, 4.0, 6.0, 7.0, 7.0, 6.0, 7.0, 6.0, 5.0, 6.0, 6.0, 3.0, 3.0, 5.0]",137,10.0,5.0,5.0,0.0,4.0,7.0,3.0,0.0,2.0,2.0,2.0,4.0,6.0,7.0,7.0,6.0,7.0,6.0,5.0,6.0,6.0,3.0,3.0,5.0
FEDXDM6,M,PR,1.0,,FEDXDM6_M_PR_1.0,2.0353982300884956,113,5.061023401634755,"[9.0, 1.0, 5.0, 12.0, 8.0, 6.0, 0.0, 3.0, 1.0, 2.0, 3.0, 1.0, 6.0, 7.0, 5.0, 9.0, 2.0, 10.0, 5.0, 3.0, 2.0, 3.0, 4.0, 6.0]",230,9.0,1.0,5.0,12.0,8.0,6.0,0.0,3.0,1.0,2.0,3.0,1.0,6.0,7.0,5.0,9.0,2.0,10.0,5.0,3.0,2.0,3.0,4.0,6.0
FEDXDM6,M,PR,2.0,,FEDXDM6_M_PR_2.0,1.6515151515151516,132,5.718342739557888,"[7.0, 0.0, 4.0, 12.0, 15.0, 5.0, 0.0, 6.0, 0.0, 1.0, 6.0, 0.0, 5.0, 9.0, 7.0, 7.0, 5.0, 10.0, 12.0, 4.0, 2.0, 4.0, 3.0, 8.0]",218,7.0,0.0,4.0,12.0,15.0,5.0,0.0,6.0,0.0,1.0,6.0,0.0,5.0,9.0,7.0,7.0,5.0,10.0,12.0,4.0,2.0,4.0,3.0,8.0
FEDXDM6,M,PR,3.0,,FEDXDM6_M_PR_3.0,1.5277777777777777,144,6.224933355748217,"[9.0, 5.0, 5.0, 7.0, 12.0, 7.0, 4.0, 2.0, 2.0, 2.0, 4.0, 1.0, 4.0, 8.0, 11.0, 2.0, 7.0, 8.0, 12.0, 8.0, 1.0, 9.0, 7.0, 7.0]",220,9.0,5.0,5.0,7.0,12.0,7.0,4.0,2.0,2.0,2.0,4.0,1.0,4.0,8.0,11.0,2.0,7.0,8.0,12.0,8.0,1.0,9.0,7.0,7.0
FEDXDM6,M,PR,4.0,,FEDXDM6_M_PR_4.0,1.121212121212121,132,5.844659000061497,"[9.0, 13.0, 2.0, 7.0, 9.0, 4.0, 5.0, 3.0, 0.0, 2.0, 6.0, 1.0, 2.0, 11.0, 9.0, 6.0, 9.0, 8.0, 8.0, 5.0, 6.0, 5.0, 2.0, 0.0]",148,9.0,13.0,2.0,7.0,9.0,4.0,5.0,3.0,0.0,2.0,6.0,1.0,2.0,11.0,9.0,6.0,9.0,8.0,8.0,5.0,6.0,5.0,2.0,0.0
FEDXDM7,M,PR,1.0,,FEDXDM7_M_PR_1.0,1.7837837837837838,111,4.948913245402192,"[4.0, 2.0, 3.0, 9.0, 9.0, 12.0, 3.0, 0.0, 3.0, 1.0, 1.0, 9.0, 4.0, 8.0, 7.0, 1.0, 0.0, 10.0, 3.0, 8.0, 0.0, 1.0, 10.0, 3.0]",198,4.0,2.0,3.0,9.0,9.0,12.0,3.0,0.0,3.0,1.0,1.0,9.0,4.0,8.0,7.0,1.0,0.0,10.0,3.0,8.0,0.0,1.0,10.0,3.0
FEDXDM7,M,PR,2.0,,FEDXDM7_M_PR_2.0,1.4049079754601228,163,7.093381686310063,"[0.0, 12.0, 4.0, 8.0, 11.0, 12.0, 7.0, 5.0, 1.0, 7.0, 1.0, 8.0, 7.0, 11.0, 13.0, 11.0, 4.0, 4.0, 12.0, 10.0, 2.0, 0.0, 5.0, 8.0]",229,0.0,12.0,4.0,8.0,11.0,12.0,7.0,5.0,1.0,7.0,1.0,8.0,7.0,11.0,13.0,11.0,4.0,4.0,12.0,10.0,2.0,0.0,5.0,8.0
