MOUSE ID,SEX,DIET,CHOICE_SESSION,MEALS_HOUR_0,MEALS_HOUR_1,MEALS_HOUR_2,MEALS_HOUR_3,MEALS_HOUR_4,MEALS_HOUR_5,MEALS_HOUR_6,MEALS_HOUR_7,MEALS_HOUR_8,MEALS_HOUR_9,MEALS_HOUR_10,MEALS_HOUR_11,MEALS_HOUR_12,MEALS_HOUR_13,MEALS_HOUR_14,MEALS_HOUR_15,MEALS_HOUR_16,MEALS_HOUR_17,MEALS_HOUR_18,MEALS_HOUR_19,MEALS_HOUR_20,MEALS_HOUR_21,MEALS_HOUR_22,MEALS_HOUR_23
FEDXDF15,F,NR,3,6,0,7,4,5,11,11,0,0,1,6,2,8,10,11,6,0,2,9,8,12,1,0,5
FEDXDF15,F,NR,4,1,8,7,7,0,9,9,8,0,0,4,2,6,11,9,8,6,7,5,5,5,5,3,4
FEDXDF16,F,NR,1,7,0,4,8,7,8,0,0,5,0,3,4,5,5,5,5,5,5,6,5,6,5,5,9
FEDXDF16,F,NR,2,6,6,2,7,8,3,0,0,0,6,0,1,5,7,7,4,7,4,4,8,4,4,4,6
FEDXDF16,F,NR,3,9,4,2,0,14,5,2,0,2,0,4,2,5,10,7,6,3,2,7,8,7,6,9,8
FEDXDF16,F,NR,4,5,1,0,6,5,9,5,0,0,1,1,1,8,9,9,8,5,7,7,7,4,11,8,7
FEDXDF17,F,NR,1,6,3,1,4,8,6,8,2,0,0,2,4,4,7,9,7,0,10,6,6,6,7,5,3
FEDXDF17,F,NR,2,3,0,2,7,7,7,0,2,0,0,0,5,5,8,7,8,6,8,5,4,4,4,3,7
FEDXDF17,F,NR,3,6,7,4,0,6,7,5,0,0,5,0,2,8,10,7,4,4,10,9,9,9,5,0,2
FEDXDF17,F,NR,4,5,2,0,1,2,7,7,1,0,0,6,1,8,12,7,3,9,5,0,11,11,8,7,3
FEDXDF18,F,NR,1,9,6,5,8,9,9,3,0,6,0,0,9,5,8,8,11,3,2,8,9,13,9,5,6
FEDXDF18,F,NR,2,12,5,3,13,5,0,0,11,1,0,8,1,5,10,13,11,1,10,9,13,1,10,5,3
FEDXDF18,F,NR,3,11,4,5,0,12,11,2,0,3,3,0,7,10,13,11,12,1,12,10,13,1,10,6,7
FEDXDF18,F,NR,4,8,5,0,7,5,11,4,0,0,2,4,4,7,9,11,10,8,5,4,15,10,8,6,2
FEDXDF19,F,NR,1,3,5,1,6,8,6,4,2,2,5,0,2,6,6,5,8,5,5,3,7,7,2,0,5
FEDXDF19,F,NR,2,3,0,2,6,4,3,2,2,0,5,0,2,7,3,6,9,7,8,2,5,6,4,0,2
FEDXDF19,F,NR,3,5,0,6,0,11,2,3,4,0,3,2,6,6,10,7,7,9,9,7,7,2,0,6,4
FEDXDF19,F,NR,4,9,7,2,5,0,6,6,0,0,4,2,2,8,10,11,7,9,3,4,9,12,9,0,1
FEDXDF20,F,NR,1,7,4,4,7,11,7,0,0,0,4,2,3,4,8,8,6,8,8,5,9,7,0,0,3
FEDXDF20,F,NR,2,5,1,7,10,8,3,0,4,2,1,1,9,5,10,13,7,0,6,9,11,6,1,0,2
FEDXDF20,F,NR,3,3,9,6,0,13,11,5,0,0,6,1,4,6,8,7,9,9,6,9,2,0,4,7,1
FEDXDF20,F,NR,4,3,3,0,1,6,9,6,2,0,0,2,10,4,10,9,7,6,5,4,5,4,4,4,4
FEDXDM1,M,PR,1,2,3,1,10,9,9,7,6,1,1,2,3,6,10,6,2,3,8,8,5,1,4,1,8
FEDXDM1,M,PR,2,8,7,0,8,13,6,9,0,3,0,4,2,5,12,12,8,3,1,10,5,6,0,6,5
FEDXDM1,M,PR,3,7,2,2,6,10,5,4,1,4,2,3,3,4,8,9,6,3,5,5,6,2,5,3,9
FEDXDM1,M,PR,4,4,3,1,0,4,10,3,1,3,1,2,6,3,9,10,8,8,11,8,9,8,4,7,5
FEDXDM2,M,PR,1,2,3,0,4,6,10,11,0,3,0,0,2,2,8,3,2,6,1,3,4,1,1,2,4
FEDXDM2,M,PR,2,3,0,2,5,7,8,9,2,0,3,0,0,5,7,8,0,2,0,6,1,5,4,1,1
FEDXDM2,M,PR,3,2,1,3,2,13,13,8,0,7,0,4,0,6,9,8,4,3,3,11,0,6,1,2,4
FEDXDM2,M,PR,4,0,1,7,0,3,7,7,2,0,2,0,7,3,11,5,8,8,6,7,8,5,7,7,5
FEDXDM3,M,PR,1,3,3,1,8,10,9,4,7,4,0,1,4,2,10,4,6,12,3,12,5,0,7,10,5
FEDXDM3,M,PR,2,4,2,2,6,9,5,4,0,5,0,1,3,5,16,7,9,7,6,11,10,0,8,5,8
FEDXDM3,M,PR,3,8,3,4,4,9,5,1,3,2,1,3,3,4,13,14,11,3,13,11,12,4,10,0,8
FEDXDM3,M,PR,4,4,0,8,0,7,8,1,5,4,5,0,9,4,14,8,11,9,8,8,6,7,4,6,6
FEDXDM4,M,PR,1,8,5,1,5,11,10,5,8,3,0,3,0,2,11,6,1,6,5,4,7,3,1,6,3
FEDXDM4,M,PR,2,6,8,2,5,9,5,4,3,1,2,1,5,4,11,11,2,6,2,9,1,9,2,5,7
FEDXDM4,M,PR,3,5,7,2,4,12,3,3,5,4,1,2,5,4,8,8,4,2,3,6,9,8,6,4,5
FEDXDM4,M,PR,4,4,7,4,0,8,6,2,4,1,1,1,4,4,8,11,7,9,7,6,6,6,7,5,4
FEDXDM5,M,PR,1,4,1,3,3,9,12,5,0,6,0,4,5,5,4,3,3,1,6,5,4,4,1,2,3
FEDXDM5,M,PR,2,4,2,3,8,9,6,2,0,6,0,2,1,5,3,5,6,0,6,0,4,1,0,2,5
FEDXDM5,M,PR,3,6,0,3,4,10,2,3,0,2,2,1,3,4,5,4,2,2,1,3,3,4,2,1,3
FEDXDM5,M,PR,4,10,5,5,0,4,7,3,0,2,2,2,4,6,7,7,6,7,6,5,6,6,3,3,5
FEDXDM6,M,PR,1,9,1,5,12,8,6,0,3,1,2,3,1,6,7,5,9,2,10,5,3,2,3,4,6
FEDXDM6,M,PR,2,7,0,4,12,15,5,0,6,0,1,6,0,5,9,7,7,5,10,12,4,2,4,3,8
FEDXDM6,M,PR,3,9,5,5,7,12,7,4,2,2,2,4,1,4,8,11,2,7,8,12,8,1,9,7,7
FEDXDM6,M,PR,4,9,13,2,7,9,4,5,3,0,2,6,1,2,11,9,6,9,8,8,5,6,5,2,0
FEDXDM7,M,PR,1,4,2,3,9,9,12,3,0,3,1,1,9,4,8,7,1,0,10,3,8,0,1,10,3
FEDXDM7,M,PR,2,0,12,4,8,11,12,7,5,1,7,1,8,7,11,13,11,4,4,12,10,2,0,5,8
FEDXDM7,M,PR,3,8,3,7,6,10,12,7,1,5,2,4,1,5,11,9,3,9,1,13,8,8,2,0,0
FEDXDM7,M,PR,4,1,4,2,3,6,7,5,2,0,4,3,2,4,10,8,6,8,6,7,7,4,4,5,2
FEDXDM8,M,PR,1,3,4,2,8,9,5,0,3,3,0,3,5,6,9,8,5,6,8,8,2,2,1,4,5
FEDXDM8,M,PR,2,2,3,4,11,10,13,7,0,6,0,5,4,5,8,13,12,5,2,5,10,1,6,0,4
FEDXDM8,M,PR,3,2,4,5,6,9,9,0,2,2,2,4,2,7,8,10,9,4,5,6,6,2,7,2,4
FEDXDM8,M,PR,4,4,0,0,5,9,8,6,3,0,5,7,5,7,8,7,7,8,7,7,8,6,6,5,4
FEDXDM9,M,PR,1,5,2,0,9,7,11,6,2,1,0,1,2,2,4,5,4,3,0,5,3,0,1,1,2
FEDXDM9,M,PR,2,0,5,3,4,12,10,3,0,2,1,0,1,5,8,11,7,2,0,5,5,1,5,0,7
FEDXDM9,M,PR,3,2,5,8,6,9,8,7,1,2,0,1,1,4,6,11,11,3,6,6,7,5,0,7,8
FEDXDM9,M,PR,4,4,5,1,3,7,7,3,3,1,0,3,2,7,8,7,6,7,8,6,4,3,5,4,5
FEDXDM10,M,PR,1,6,2,0,6,5,8,3,0,3,0,0,3,3,7,6,6,1,5,7,6,1,0,3,4
FEDXDM10,M,PR,2,8,7,0,6,9,9,3,3,0,0,7,0,4,7,7,9,2,4,1,4,7,0,3,5
FEDXDM10,M,PR,3,7,7,8,4,9,8,3,1,1,5,0,2,2,7,10,7,5,5,7,4,1,5,3,6
FEDXDM10,M,PR,4,4,4,1,2,7,8,1,0,0,5,0,5,6,8,7,8,4,5,5,5,5,4,3,4
FEDXDM11,M,NR,1,5,0,0,3,3,10,3,1,3,0,1,4,3,5,5,4,3,2,5,3,4,0,2,1
FEDXDM11,M,NR,2,1,4,1,3,6,1,3,0,2,0,1,0,5,6,7,0,7,3,5,4,1,3,4,4
FEDXDM11,M,NR,3,5,1,1,3,10,0,5,0,1,1,1,3,2,5,2,6,0,5,4,2,3,2,2,4
FEDXDM11,M,NR,4,8,0,5,0,5,6,0,2,0,3,0,5,1,7,11,2,6,2,6,4,4,1,5,5
FEDXDM12,M,NR,1,7,4,0,3,5,9,5,0,5,0,5,0,4,8,6,4,9,4,4,4,3,1,3,5
FEDXDM12,M,NR,2,7,1,4,4,8,6,0,0,6,0,0,2,5,11,1,9,6,4,11,6,8,5,3,9
FEDXDM12,M,NR,3,8,0,2,2,7,3,0,4,4,0,2,2,3,12,7,10,6,2,11,6,3,6,5,8
FEDXDM12,M,NR,4,7,0,7,0,4,5,1,2,0,0,3,3,2,11,8,0,11,6,7,9,4,2,3,8
FEDXDM13,M,NR,1,4,0,2,3,3,4,2,2,2,0,2,2,5,9,9,7,3,8,5,6,9,6,4,5
FEDXDM13,M,NR,2,2,2,1,4,6,1,0,3,0,1,0,3,5,7,8,6,8,0,7,0,11,2,7,6
FEDXDM13,M,NR,3,5,0,3,3,4,0,1,3,1,0,0,3,5,7,11,7,7,0,12,6,2,11,7,2
FEDXDM13,M,NR,4,4,5,3,0,2,3,0,0,1,1,0,1,4,6,10,10,6,4,5,9,7,6,3,4
FEDXDM14,M,NR,1,1,5,0,2,4,6,9,0,5,0,3,1,5,5,4,0,4,8,5,4,0,2,2,4
FEDXDM14,M,NR,2,4,3,1,1,8,11,8,6,0,0,4,4,3,5,9,5,0,9,2,3,1,1,1,3
FEDXDM14,M,NR,3,6,4,4,0,7,9,2,7,0,0,2,2,2,6,8,1,7,0,7,0,4,3,2,5
FEDXDM14,M,NR,4,10,7,5,0,4,11,5,0,3,0,2,2,1,5,10,8,7,6,0,3,10,0,1,7
FEDXDM15,M,NR,1,8,2,3,1,7,7,3,0,3,0,1,3,2,8,5,6,9,8,10,0,5,5,1,2
FEDXDM15,M,NR,2,8,0,3,1,10,2,3,1,0,4,0,3,10,6,14,2,7,1,6,2,5,0,3,6
FEDXDM15,M,NR,3,2,5,2,1,8,6,0,3,2,0,2,4,2,4,8,4,3,8,1,5,0,3,3,5
FEDXDM15,M,NR,4,1,7,0,2,5,5,6,4,0,0,3,2,5,10,10,8,7,8,7,6,0,10,0,6
FEDXDM16,M,NR,1,0,4,0,12,11,9,3,0,4,0,1,3,3,8,7,2,5,3,5,5,1,1,3,3
FEDXDM16,M,NR,2,3,0,4,6,12,4,4,0,1,0,2,3,4,10,12,9,3,2,9,4,2,0,4,3
FEDXDM16,M,NR,3,2,7,4,7,4,0,4,0,1,1,5,2,1,9,9,8,2,6,10,5,0,6,5,4
FEDXDM16,M,NR,4,0,0,3,5,12,1,3,3,0,2,0,3,4,9,10,9,8,6,6,7,6,5,3,3
FEDXDM17,M,NR,1,4,4,0,5,9,5,2,2,2,3,1,1,4,5,12,6,0,8,2,6,0,4,1,4
FEDXDM17,M,NR,2,4,5,4,4,6,6,0,2,0,1,1,3,1,8,10,10,1,6,4,6,1,1,2,5
FEDXDM17,M,NR,3,7,4,7,5,10,1,5,0,1,1,5,1,8,12,9,7,0,2,4,1,6,1,3,5
FEDXDM17,M,NR,4,5,9,4,2,8,9,3,1,0,0,6,1,5,11,7,10,3,0,5,3,1,3,0,6
FEDXDM18,M,NR,3,3,11,7,2,8,11,0,0,0,7,2,2,6,7,6,7,2,6,5,0,5,2,1,5
FEDXDM18,M,NR,4,10,0,5,0,10,9,4,2,0,1,5,3,4,12,10,9,5,3,3,9,3,3,1,9
FEDXDM19,M,NR,1,8,3,0,5,4,8,4,0,0,0,2,3,3,6,8,8,13,3,1,10,4,0,5,8
FEDXDM19,M,NR,2,6,2,4,5,8,7,0,0,3,0,1,2,2,7,11,11,0,10,4,7,6,6,4,5
FEDXDM19,M,NR,3,2,11,6,4,8,6,0,2,1,2,4,1,4,9,9,9,5,0,5,9,1,0,7,6
FEDXDM19,M,NR,4,0,0,6,1,9,10,0,1,2,2,1,2,3,11,8,8,5,7,4,5,5,5,6,6
FEDXDM20,M,NR,1,4,2,0,10,7,4,5,0,1,0,1,2,1,3,7,8,8,9,0,8,0,2,6,3
FEDXDM20,M,NR,2,6,2,3,5,5,4,1,2,0,1,0,3,3,6,7,9,7,0,11,7,0,3,1,4
FEDXDM20,M,NR,3,6,2,6,5,11,0,0,3,0,1,3,2,3,6,7,7,9,3,0,8,0,4,9,6
FEDXDM20,M,NR,4,9,1,1,2,6,7,1,3,0,0,2,3,3,3,5,5,9,5,4,6,7,2,0,2
