MM:DD:YYYY hh:mm:ss,Temp,Humidity,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/19/2023 10:44:35,22.02,64.22,1.16.3,FR1,15,3.83,nan,1,Right,Left,0,1,0,0,nan,nan,17.79
4/19/2023 10:48:28,22.10,63.75,1.16.3,FR1,15,3.83,nan,1,Left,Left,1,1,0,0,nan,nan,0.20
4/19/2023 10:49:37,22.15,63.50,1.16.3,FR1,15,3.83,1,1,Pellet,Left,1,1,1,0,Timed_out,nan,nan
4/19/2023 10:49:51,22.13,63.57,1.16.3,FR1,15,3.83,nan,1,Right,Left,1,2,1,0,nan,nan,0.00
4/19/2023 10:53:28,22.16,63.27,1.16.3,FR1,15,3.82,nan,1,Left,Left,2,2,1,0,nan,nan,0.08
4/19/2023 10:53:56,22.18,63.23,1.16.3,FR1,15,3.83,1,1,Pellet,Left,2,2,2,0,26.62,259,nan
4/19/2023 10:54:04,22.19,63.20,1.16.3,FR1,15,3.83,nan,1,Left,Left,3,2,2,0,nan,nan,0.15
4/19/2023 10:54:05,22.18,63.20,1.16.3,FR1,15,3.83,1,1,Pellet,Left,3,2,3,0,0.20,9,nan
4/19/2023 10:57:46,22.18,63.03,1.16.3,FR1,15,3.83,nan,1,Left,Left,4,2,3,0,nan,nan,0.15
4/19/2023 10:58:00,22.18,63.06,1.16.3,FR1,15,3.83,1,1,Pellet,Left,4,2,4,0,12.91,235,nan
4/19/2023 10:58:24,22.19,63.05,1.16.3,FR1,15,3.83,nan,1,Left,Left,5,2,4,0,nan,nan,0.00
4/19/2023 10:58:25,22.20,63.03,1.16.3,FR1,15,3.83,nan,1,LeftDuringDispense,Left,6,2,4,0,nan,nan,0.04
4/19/2023 10:58:29,22.19,63.01,1.16.3,FR1,15,3.83,2,1,Pellet,Left,6,2,5,0,2.04,29,nan
4/19/2023 10:58:36,22.20,63.04,1.16.3,FR1,15,3.83,nan,1,Left,Left,7,2,5,0,nan,nan,0.22
4/19/2023 10:58:41,22.20,63.05,1.16.3,FR1,15,3.83,1,1,Pellet,Left,7,2,6,0,3.68,12,nan
4/19/2023 10:58:50,22.20,63.06,1.16.3,FR1,15,3.83,nan,1,Left,Left,8,2,6,0,nan,nan,0.03
4/19/2023 11:01:23,22.23,62.87,1.16.3,FR1,15,3.83,1,1,Pellet,Left,8,2,7,0,Timed_out,162,nan
4/19/2023 11:14:03,22.19,62.79,1.16.3,FR1,15,3.83,nan,1,Left,Left,9,2,7,0,nan,nan,0.09
4/19/2023 11:43:16,22.18,62.76,1.16.3,FR1,15,3.83,nan,1,RightWithPellet,Left,9,3,7,0,nan,nan,0.11
4/19/2023 11:43:17,22.16,62.74,1.16.3,FR1,15,3.83,1,1,Pellet,Left,9,3,8,0,Timed_out,2514,nan
4/19/2023 11:49:40,22.16,62.77,1.16.3,FR1,15,3.83,nan,1,Left,Left,10,3,8,0,nan,nan,0.13
4/19/2023 11:49:46,22.16,62.79,1.16.3,FR1,15,3.83,1,1,Pellet,Left,10,3,9,0,5.12,389,nan
4/19/2023 11:51:32,22.19,62.82,1.16.3,FR1,15,3.82,nan,1,Right,Left,10,4,9,0,nan,nan,0.21
4/19/2023 11:51:35,22.17,62.81,1.16.3,FR1,15,3.82,nan,1,Left,Left,11,4,9,0,nan,nan,0.09
4/19/2023 13:02:10,21.99,63.43,1.16.3,FR1,15,3.82,1,1,Pellet,Left,11,4,10,0,Timed_out,4344,nan
4/19/2023 13:02:22,21.98,63.48,1.16.3,FR1,15,3.83,nan,1,Left,Left,12,4,10,0,nan,nan,0.14
4/19/2023 13:02:23,22.00,63.46,1.16.3,FR1,15,3.83,1,1,Pellet,Left,12,4,11,0,0.54,13,nan
4/19/2023 13:02:39,21.99,63.52,1.16.3,FR1,15,3.82,nan,1,Left,Left,13,4,11,0,nan,nan,0.14
4/19/2023 13:02:40,21.99,63.50,1.16.3,FR1,15,3.83,1,1,Pellet,Left,13,4,12,0,0.34,17,nan
4/19/2023 13:03:00,21.98,63.57,1.16.3,FR1,15,3.82,nan,1,Left,Left,14,4,12,0,nan,nan,0.10
