MM:DD:YYYY hh:mm:ss,Temp,Humidity,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/18/2023 11:10:07,21.87,67.58,1.16.3,FR1,17,3.86,nan,1,Right,Left,0,1,0,0,nan,nan,13.48
4/18/2023 11:19:05,22.03,66.87,1.16.3,FR1,17,3.86,nan,1,Left,Left,1,1,0,0,nan,nan,0.09
4/18/2023 11:19:06,22.04,66.88,1.16.3,FR1,17,3.86,1,1,Pellet,Left,1,1,1,0,0.20,nan,nan
4/18/2023 11:25:14,22.05,66.81,1.16.3,FR1,17,3.85,nan,1,Left,Left,2,1,1,0,nan,nan,0.19
4/18/2023 11:25:15,22.05,66.78,1.16.3,FR1,17,3.85,1,1,Pellet,Left,2,1,2,0,0.20,369,nan
4/18/2023 11:34:28,22.08,66.74,1.16.3,FR1,17,3.85,nan,1,Left,Left,3,1,2,0,nan,nan,0.04
4/18/2023 11:34:29,22.06,66.75,1.16.3,FR1,17,3.86,2,1,Pellet,Left,3,1,3,0,0.06,554,nan
4/18/2023 11:34:42,22.08,66.74,1.16.3,FR1,17,3.86,nan,1,Left,Left,4,1,3,0,nan,nan,0.02
4/18/2023 11:34:43,22.09,66.75,1.16.3,FR1,17,3.86,2,1,Pellet,Left,4,1,4,0,0.06,14,nan
4/18/2023 11:40:11,22.07,66.09,1.16.3,FR1,17,3.85,nan,1,Right,Left,4,2,4,0,nan,nan,0.18
4/18/2023 11:40:12,22.08,66.08,1.16.3,FR1,17,3.85,nan,1,Right,Left,4,3,4,0,nan,nan,0.00
4/18/2023 11:40:13,22.08,66.10,1.16.3,FR1,17,3.86,nan,1,Left,Left,5,3,4,0,nan,nan,0.10
4/18/2023 11:40:14,22.10,66.10,1.16.3,FR1,17,3.86,nan,1,LeftDuringDispense,Left,6,3,4,0,nan,nan,0.29
4/18/2023 11:40:18,22.07,66.11,1.16.3,FR1,17,3.85,nan,1,LeftWithPellet,Left,7,3,4,0,nan,nan,0.06
4/18/2023 11:40:29,22.07,66.16,1.16.3,FR1,17,3.85,2,1,Pellet,Left,7,3,5,0,12.76,346,nan
4/18/2023 11:45:24,22.07,66.12,1.16.3,FR1,17,3.86,nan,1,Left,Left,8,3,5,0,nan,nan,0.06
4/18/2023 11:45:27,22.06,66.08,1.16.3,FR1,17,3.85,1,1,Pellet,Left,8,3,6,0,1.90,298,nan
4/18/2023 11:54:02,22.02,66.05,1.16.3,FR1,17,3.86,nan,1,Left,Left,9,3,6,0,nan,nan,0.00
4/18/2023 11:54:03,22.03,66.05,1.16.3,FR1,17,3.85,1,1,Pellet,Left,9,3,7,0,0.20,516,nan
4/18/2023 12:33:11,21.89,66.36,1.16.3,FR1,17,3.85,nan,1,Left,Left,10,3,7,0,nan,nan,0.05
4/18/2023 12:33:13,21.89,66.34,1.16.3,FR1,17,3.85,1,1,Pellet,Left,10,3,8,0,0.47,2349,nan
4/18/2023 12:33:25,21.89,66.35,1.16.3,FR1,17,3.86,nan,1,Left,Left,11,3,8,0,nan,nan,0.02
4/18/2023 12:33:26,21.89,66.32,1.16.3,FR1,17,3.85,2,1,Pellet,Left,11,3,9,0,0.06,14,nan
4/18/2023 13:32:25,21.79,66.01,1.16.3,FR1,17,3.85,nan,1,Left,Left,12,3,9,0,nan,nan,0.29
4/18/2023 13:32:26,21.81,65.98,1.16.3,FR1,17,3.85,nan,1,LeftDuringDispense,Left,13,3,9,0,nan,nan,0.11
4/18/2023 13:32:29,21.79,65.99,1.16.3,FR1,17,3.85,2,1,Pellet,Left,13,3,10,0,0.54,3543,nan
4/18/2023 13:36:50,21.81,65.82,1.16.3,FR1,17,3.85,nan,1,Left,Left,14,3,10,0,nan,nan,0.12
4/18/2023 13:36:51,21.80,65.83,1.16.3,FR1,17,3.85,1,1,Pellet,Left,14,3,11,0,0.27,262,nan
4/18/2023 13:38:26,21.82,65.80,1.16.3,FR1,17,3.85,nan,1,Left,Left,15,3,11,0,nan,nan,0.07
4/18/2023 13:38:27,21.80,65.80,1.16.3,FR1,17,3.85,1,1,Pellet,Left,15,3,12,0,0.40,96,nan
4/18/2023 14:30:50,21.81,67.16,1.16.3,FR1,17,3.85,nan,1,Left,Left,16,3,12,0,nan,nan,0.14
4/18/2023 14:30:51,21.82,67.19,1.16.3,FR1,17,3.85,nan,1,LeftDuringDispense,Left,17,3,12,0,nan,nan,0.07
4/18/2023 14:30:54,21.82,67.18,1.16.3,FR1,17,3.85,3,1,Pellet,Left,17,3,13,0,0.06,3147,nan
4/18/2023 14:31:51,21.82,67.26,1.16.3,FR1,17,3.85,nan,1,Left,Left,18,3,13,0,nan,nan,0.14
4/18/2023 14:31:53,21.83,67.24,1.16.3,FR1,17,3.85,2,1,Pellet,Left,18,3,14,0,0.34,59,nan
4/18/2023 14:32:11,21.82,67.24,1.16.3,FR1,17,3.85,nan,1,Left,Left,19,3,14,0,nan,nan,0.05
4/18/2023 14:32:13,21.81,67.25,1.16.3,FR1,17,3.85,2,1,Pellet,Left,19,3,15,0,0.40,20,nan
4/18/2023 14:36:01,21.83,67.18,1.16.3,FR1,17,3.85,nan,1,Right,Left,19,4,15,0,nan,nan,0.10
4/18/2023 14:36:37,21.83,67.18,1.16.3,FR1,17,3.85,nan,1,Left,Left,20,4,15,0,nan,nan,0.09
4/18/2023 14:38:08,21.89,67.10,1.16.3,FR1,17,3.85,2,1,Pellet,Left,20,4,16,0,Timed_out,355,nan
4/18/2023 14:50:39,21.85,67.12,1.16.3,FR1,17,3.85,nan,1,Left,Left,21,4,16,0,nan,nan,0.14
4/18/2023 14:50:40,21.85,67.11,1.16.3,FR1,17,3.85,1,1,Pellet,Left,21,4,17,0,0.47,752,nan
4/18/2023 14:51:02,21.87,67.10,1.16.3,FR1,17,3.85,nan,1,Left,Left,22,4,17,0,nan,nan,0.02
4/18/2023 14:51:03,21.85,67.09,1.16.3,FR1,17,3.85,1,1,Pellet,Left,22,4,18,0,0.47,23,nan
4/18/2023 16:48:49,21.81,67.33,1.16.3,FR1,17,3.85,nan,1,Left,Left,23,4,18,0,nan,nan,0.05
4/18/2023 16:48:50,21.84,67.30,1.16.3,FR1,17,3.85,1,1,Pellet,Left,23,4,19,0,0.34,7067,nan
4/18/2023 16:53:59,21.84,67.27,1.16.3,FR1,17,3.84,nan,1,Left,Left,24,4,19,0,nan,nan,0.06
4/18/2023 16:54:00,21.84,67.25,1.16.3,FR1,17,3.85,2,1,Pellet,Left,24,4,20,0,0.06,310,nan
4/18/2023 16:54:21,21.83,67.26,1.16.3,FR1,17,3.85,nan,1,Left,Left,25,4,20,0,nan,nan,0.01
4/18/2023 16:54:23,21.84,67.27,1.16.3,FR1,17,3.85,1,1,Pellet,Left,25,4,21,0,0.81,23,nan
4/18/2023 16:55:30,21.85,67.22,1.16.3,FR1,17,3.85,nan,1,Left,Left,26,4,21,0,nan,nan,0.14
4/18/2023 16:55:31,21.85,67.19,1.16.3,FR1,17,3.84,1,1,Pellet,Left,26,4,22,0,0.27,68,nan
4/18/2023 16:55:48,21.85,67.16,1.16.3,FR1,17,3.84,nan,1,Left,Left,27,4,22,0,nan,nan,0.09
4/18/2023 16:55:50,21.86,67.12,1.16.3,FR1,17,3.85,1,1,Pellet,Left,27,4,23,0,0.95,19,nan
4/18/2023 17:49:59,21.83,67.13,1.16.3,FR1,17,3.84,nan,1,Left,Left,28,4,23,0,nan,nan,0.15
