MM:DD:YYYY hh:mm:ss,Temp,Humidity,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/13/2023 10:08:18,21.94,72.79,1.16.3,FR1,4,4.09,nan,1,Right,Left,0,1,0,0,nan,nan,14.45
4/13/2023 10:23:25,22.07,67.36,1.16.3,FR1,4,4.09,nan,1,Right,Left,0,2,0,0,nan,nan,0.47
4/13/2023 10:39:59,22.03,67.35,1.16.3,FR1,4,4.09,nan,1,Left,Left,1,2,0,0,nan,nan,0.13
4/13/2023 10:40:06,22.02,67.36,1.16.3,FR1,4,4.09,4,1,Pellet,Left,1,2,1,0,1.56,nan,nan
4/13/2023 10:43:20,22.04,67.30,1.16.3,FR1,4,4.10,nan,1,Left,Left,2,2,1,0,nan,nan,0.23
4/13/2023 10:54:03,22.06,67.45,1.16.3,FR1,4,4.10,2,1,Pellet,Left,2,2,2,0,Timed_out,837,nan
4/13/2023 11:20:19,22.03,65.16,1.16.3,FR1,4,4.09,nan,1,Left,Left,3,2,2,0,nan,nan,0.08
4/13/2023 11:21:35,22.09,65.04,1.16.3,FR1,4,4.09,nan,1,RightWithPellet,Left,3,3,2,0,nan,nan,0.03
4/13/2023 11:21:37,22.08,65.02,1.16.3,FR1,4,4.09,nan,1,LeftWithPellet,Left,4,3,2,0,nan,nan,0.03
4/13/2023 11:26:39,22.07,64.69,1.16.3,FR1,4,4.09,1,1,Pellet,Left,4,3,3,0,Timed_out,1956,nan
4/13/2023 11:43:24,22.04,64.19,1.16.3,FR1,4,4.09,nan,1,Left,Left,5,3,3,0,nan,nan,0.12
4/13/2023 11:53:29,22.04,64.14,1.16.3,FR1,4,4.09,nan,1,LeftWithPellet,Left,6,3,3,0,nan,nan,0.11
4/13/2023 11:56:18,22.04,64.29,1.16.3,FR1,4,4.09,1,1,Pellet,Left,6,3,4,0,Timed_out,1779,nan
4/13/2023 12:33:58,21.97,67.56,1.16.3,FR1,4,4.09,nan,1,Left,Left,7,3,4,0,nan,nan,0.21
4/13/2023 12:34:20,21.98,67.62,1.16.3,FR1,4,4.09,nan,1,LeftWithPellet,Left,8,3,4,0,nan,nan,0.03
4/13/2023 12:34:22,21.98,67.56,1.16.3,FR1,4,4.09,1,1,Pellet,Left,8,3,5,0,22.73,2284,nan
