MM:DD:YYYY hh:mm:ss,New Column 1,New Column 2,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/20/2023 10:16:20,,,1.16.3,FR1,5,3.72,,1,Right,Left,0,1,0,0,,,14.68
4/20/2023 10:19:16,,,1.16.3,FR1,5,3.72,,1,Left,Left,1,1,0,0,,,0.03
4/20/2023 10:20:03,,,1.16.3,FR1,5,3.72,1.0,1,Pellet,Left,1,1,1,0,46.46,,
4/20/2023 10:22:53,,,1.16.3,FR1,5,3.72,,1,Right,Left,1,2,1,0,,,0.11
4/20/2023 10:27:23,,,1.16.3,FR1,5,3.72,,1,Left,Left,2,2,1,0,,,0.25
4/20/2023 10:27:23,,,1.16.3,FR1,5,3.72,,1,LeftDuringDispense,Left,3,2,1,0,,,0.03
4/20/2023 10:27:28,,,1.16.3,FR1,5,3.72,3.0,1,Pellet,Left,3,2,2,0,1.43,445.0,
4/20/2023 10:37:07,,,1.16.3,FR1,5,3.72,,1,Left,Left,4,2,2,0,,,0.23
4/20/2023 10:37:09,,,1.16.3,FR1,5,3.72,1.0,1,Pellet,Left,4,2,3,0,1.15,581.0,
4/20/2023 10:41:27,,,1.16.3,FR1,5,3.72,,1,Left,Left,5,2,3,0,,,0.33
4/20/2023 10:41:29,,,1.16.3,FR1,5,3.72,,1,RightWithPellet,Left,5,3,3,0,,,0.27
4/20/2023 10:41:33,,,1.16.3,FR1,5,3.71,,1,LeftWithPellet,Left,6,3,3,0,,,0.03
4/20/2023 10:41:35,,,1.16.3,FR1,5,3.72,,1,LeftWithPellet,Left,7,3,3,0,,,0.29
4/20/2023 10:41:37,,,1.16.3,FR1,5,3.72,1.0,1,Pellet,Left,7,3,4,0,8.91,268.0,
4/20/2023 10:53:56,,,1.16.3,FR1,5,3.71,,1,Left,Left,8,3,4,0,,,0.26
4/20/2023 10:58:46,,,1.16.3,FR1,5,3.71,,1,LeftWithPellet,Left,9,3,4,0,,,0.35
4/20/2023 10:58:50,,,1.16.3,FR1,5,3.72,,1,RightWithPellet,Left,9,4,4,0,,,0.3
4/20/2023 11:01:52,,,1.16.3,FR1,5,3.74,2.0,1,Pellet,Left,9,4,5,0,Timed_out,1215.0,
4/20/2023 11:02:29,,,1.16.3,FR1,5,3.74,,1,Left,Left,10,4,5,0,,,0.09
4/20/2023 11:02:34,,,1.16.3,FR1,5,3.75,2.0,1,Pellet,Left,10,4,6,0,1.49,42.0,
4/20/2023 11:02:45,,,1.16.3,FR1,5,3.75,,1,Left,Left,11,4,6,0,,,0.0
4/20/2023 11:02:55,,,1.16.3,FR1,5,3.76,2.0,1,Pellet,Left,11,4,7,0,6.62,21.0,
4/20/2023 11:03:05,,,1.16.3,FR1,5,3.75,,1,Left,Left,12,4,7,0,,,0.08
4/20/2023 11:06:27,,,1.16.3,FR1,5,3.76,,1,RightWithPellet,Left,12,5,7,0,,,0.29
4/20/2023 11:06:29,,,1.16.3,FR1,5,3.76,,1,LeftWithPellet,Left,13,5,7,0,,,0.5
4/20/2023 11:13:41,,,1.16.3,FR1,5,3.77,,1,LeftWithPellet,Left,14,5,7,0,,,0.25
4/20/2023 11:15:21,,,1.16.3,FR1,5,3.77,,1,LeftWithPellet,Left,15,5,7,0,,,0.44
4/20/2023 11:15:21,,,1.16.3,FR1,5,3.77,2.0,1,Pellet,Left,15,5,8,0,Timed_out,746.0,
4/20/2023 11:16:39,,,1.16.3,FR1,5,3.78,,1,Left,Left,16,5,8,0,,,0.21
4/20/2023 11:16:40,,,1.16.3,FR1,5,3.78,1.0,1,Pellet,Left,16,5,9,0,0.54,79.0,
4/20/2023 11:17:08,,,1.16.3,FR1,5,3.77,,1,Right,Left,16,6,9,0,,,0.82
4/20/2023 11:17:21,,,1.16.3,FR1,5,3.77,,1,Right,Left,16,7,9,0,,,0.4
4/20/2023 11:17:23,,,1.16.3,FR1,5,3.78,,1,Right,Left,16,8,9,0,,,0.31
4/20/2023 11:17:24,,,1.16.3,FR1,5,3.78,,1,Right,Left,16,9,9,0,,,0.01
4/20/2023 11:18:40,,,1.16.3,FR1,5,3.78,,1,Left,Left,17,9,9,0,,,0.17
4/20/2023 11:23:41,,,1.16.3,FR1,5,3.78,3.0,1,Pellet,Left,17,9,10,0,Timed_out,421.0,
4/20/2023 11:28:35,,,1.16.3,FR1,5,3.79,,1,Right,Left,17,10,10,0,,,0.41
4/20/2023 11:28:38,,,1.16.3,FR1,5,3.79,,1,Right,Left,17,11,10,0,,,0.73
4/20/2023 11:28:39,,,1.16.3,FR1,5,3.79,,1,Left,Left,18,11,10,0,,,0.16
4/20/2023 11:28:56,,,1.16.3,FR1,5,3.78,1.0,1,Pellet,Left,18,11,11,0,16.88,315.0,
4/20/2023 11:35:41,,,1.16.3,FR1,5,3.8,,1,Right,Left,18,12,11,0,,,0.13
4/20/2023 11:35:46,,,1.16.3,FR1,5,3.8,,1,Left,Left,19,12,11,0,,,0.25
