MM:DD:YYYY hh:mm:ss,Temp,Humidity,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/13/2023 10:19:08,21.97,69.35,1.16.3,FR1,14,4.10,nan,1,Right,Left,0,1,0,0,nan,nan,18.34
4/13/2023 10:25:25,22.13,68.53,1.16.3,FR1,14,4.10,nan,1,Left,Left,1,1,0,0,nan,nan,0.32
4/13/2023 10:27:23,22.16,68.43,1.16.3,FR1,14,4.10,2,1,Pellet,Left,1,1,1,0,Timed_out,nan,nan
4/13/2023 10:27:40,22.16,68.52,1.16.3,FR1,14,4.10,nan,1,Right,Left,1,2,1,0,nan,nan,0.00
4/13/2023 10:28:19,22.16,68.57,1.16.3,FR1,14,4.10,nan,1,Right,Left,1,3,1,0,nan,nan,0.14
4/13/2023 10:30:22,22.19,68.42,1.16.3,FR1,14,4.10,nan,1,Left,Left,2,3,1,0,nan,nan,0.35
4/13/2023 10:31:35,22.20,68.51,1.16.3,FR1,14,4.09,nan,1,LeftWithPellet,Left,3,3,1,0,nan,nan,0.23
4/13/2023 10:33:06,22.19,68.49,1.16.3,FR1,14,4.10,nan,1,RightWithPellet,Left,3,4,1,0,nan,nan,0.15
4/13/2023 10:37:15,22.20,68.23,1.16.3,FR1,14,4.10,nan,1,LeftWithPellet,Left,4,4,1,0,nan,nan,0.14
4/13/2023 10:39:04,22.19,68.20,1.16.3,FR1,14,4.09,nan,1,RightWithPellet,Left,4,5,1,0,nan,nan,0.32
4/13/2023 10:40:06,22.20,68.24,1.16.3,FR1,14,4.10,nan,1,LeftWithPellet,Left,5,5,1,0,nan,nan,0.33
4/13/2023 10:40:19,22.20,68.18,1.16.3,FR1,14,4.10,nan,1,LeftWithPellet,Left,6,5,1,0,nan,nan,0.13
4/13/2023 10:40:21,22.18,68.20,1.16.3,FR1,14,4.10,nan,1,LeftWithPellet,Left,7,5,1,0,nan,nan,0.00
4/13/2023 10:40:26,22.19,68.24,1.16.3,FR1,14,4.10,nan,1,RightWithPellet,Left,7,6,1,0,nan,nan,0.39
4/13/2023 10:40:58,22.21,68.33,1.16.3,FR1,14,4.09,nan,1,RightWithPellet,Left,7,7,1,0,nan,nan,0.15
4/13/2023 10:44:12,22.19,68.11,1.16.3,FR1,14,4.10,nan,1,RightWithPellet,Left,7,8,1,0,nan,nan,0.04
4/13/2023 10:46:21,22.16,68.04,1.16.3,FR1,14,4.10,nan,1,RightWithPellet,Left,7,9,1,0,nan,nan,0.39
4/13/2023 10:46:22,22.17,68.05,1.16.3,FR1,14,4.10,nan,1,RightWithPellet,Left,7,10,1,0,nan,nan,0.06
4/13/2023 10:50:04,22.18,68.00,1.16.3,FR1,14,4.11,nan,1,LeftWithPellet,Left,8,10,1,0,nan,nan,0.33
4/13/2023 10:51:10,22.17,68.07,1.16.3,FR1,14,4.10,nan,1,RightWithPellet,Left,8,11,1,0,nan,nan,0.06
4/13/2023 10:59:27,22.18,68.50,1.16.3,FR1,14,4.10,nan,1,LeftWithPellet,Left,9,11,1,0,nan,nan,0.10
4/13/2023 11:06:48,22.19,68.26,1.16.3,FR1,14,4.10,nan,1,RightWithPellet,Left,9,12,1,0,nan,nan,0.73
4/13/2023 11:08:22,22.17,68.10,1.16.3,FR1,14,4.09,nan,1,LeftWithPellet,Left,10,12,1,0,nan,nan,0.03
4/13/2023 11:08:27,22.17,68.07,1.16.3,FR1,14,4.10,nan,1,LeftWithPellet,Left,11,12,1,0,nan,nan,1.74
4/13/2023 11:08:30,22.16,68.05,1.16.3,FR1,14,4.09,nan,1,LeftWithPellet,Left,12,12,1,0,nan,nan,0.18
