MM:DD:YYYY hh:mm:ss,Temp,Humidity,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/2/2023 10:44:11,22.38,66.56,1.16.3,FR1,14,3.71,nan,1,Right,Left,0,1,0,0,nan,nan,0.06
4/2/2023 10:50:26,22.43,66.57,1.16.3,FR1,14,3.71,nan,1,Left,Left,1,1,0,0,nan,nan,0.67
4/2/2023 10:50:28,22.41,66.59,1.16.3,FR1,14,3.71,1,1,Pellet,Left,1,1,1,0,1.08,nan,nan
4/2/2023 11:38:16,22.26,67.27,1.16.3,FR1,14,3.70,nan,1,Right,Left,1,2,1,0,nan,nan,0.00
4/2/2023 11:44:11,22.27,66.91,1.16.3,FR1,14,3.71,nan,1,Left,Left,2,2,1,0,nan,nan,0.03
4/2/2023 11:44:12,22.27,66.89,1.16.3,FR1,14,3.70,nan,1,LeftDuringDispense,Left,3,2,1,0,nan,nan,0.58
4/2/2023 11:44:20,22.26,66.98,1.16.3,FR1,14,3.70,4,1,Pellet,Left,3,2,2,0,1.15,3232,nan
4/2/2023 11:44:49,22.28,66.93,1.16.3,FR1,14,3.71,nan,1,Left,Left,4,2,2,0,nan,nan,0.02
4/2/2023 11:44:49,22.27,66.88,1.16.3,FR1,14,3.70,nan,1,LeftDuringDispense,Left,5,2,2,0,nan,nan,0.34
4/2/2023 11:45:05,22.28,66.89,1.16.3,FR1,14,3.71,3,1,Pellet,Left,5,2,3,0,10.65,45,nan
4/2/2023 11:45:29,22.27,66.86,1.16.3,FR1,14,3.70,nan,1,Right,Left,5,3,3,0,nan,nan,0.03
4/2/2023 11:46:34,22.30,66.78,1.16.3,FR1,14,3.71,nan,1,Left,Left,6,3,3,0,nan,nan,0.00
4/2/2023 11:46:37,22.30,66.76,1.16.3,FR1,14,3.71,1,1,Pellet,Left,6,3,4,0,1.77,92,nan
4/2/2023 11:51:26,22.33,66.54,1.16.3,FR1,14,3.71,nan,1,Right,Left,6,4,4,0,nan,nan,0.32
4/2/2023 11:51:30,22.33,66.51,1.16.3,FR1,14,3.71,nan,1,Right,Left,6,5,4,0,nan,nan,0.65
4/2/2023 14:26:49,21.94,67.19,1.16.3,FR1,14,3.70,nan,1,Left,Left,7,5,4,0,nan,nan,0.25
4/2/2023 14:26:51,21.94,67.20,1.16.3,FR1,14,3.69,1,1,Pellet,Left,7,5,5,0,1.29,9614,nan
