MM:DD:YYYY hh:mm:ss,Temp,Humidity,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/16/2023 10:27:54,22.29,69.37,1.16.3,FR1,9,3.98,nan,1,Right,Left,0,1,0,0,nan,nan,13.76
4/16/2023 10:29:25,22.39,69.05,1.16.3,FR1,9,3.98,nan,1,Left,Left,1,1,0,0,nan,nan,0.03
4/16/2023 10:30:46,22.42,68.75,1.16.3,FR1,9,3.98,nan,1,LeftWithPellet,Left,2,1,0,0,nan,nan,0.25
4/16/2023 10:34:25,22.42,68.60,1.16.3,FR1,9,3.98,nan,1,RightWithPellet,Left,2,2,0,0,nan,nan,0.68
4/16/2023 10:37:14,22.41,68.42,1.16.3,FR1,9,3.98,2,1,Pellet,Left,2,2,1,0,Timed_out,nan,nan
4/16/2023 10:37:21,22.40,68.43,1.16.3,FR1,9,3.98,nan,1,Right,Left,2,3,1,0,nan,nan,0.30
4/16/2023 10:43:48,22.41,67.94,1.16.3,FR1,9,3.98,nan,1,Right,Left,2,4,1,0,nan,nan,0.53
4/16/2023 10:43:50,22.42,67.92,1.16.3,FR1,9,3.98,nan,1,Left,Left,3,4,1,0,nan,nan,0.18
4/16/2023 10:43:53,22.42,67.94,1.16.3,FR1,9,3.98,nan,1,LeftDuringDispense,Left,4,4,1,0,nan,nan,0.18
4/16/2023 10:43:54,22.44,67.92,1.16.3,FR1,9,3.98,2,1,Pellet,Left,4,4,2,0,0.95,400,nan
4/16/2023 10:44:15,22.43,67.96,1.16.3,FR1,9,3.98,nan,1,Right,Left,4,5,2,0,nan,nan,0.12
4/16/2023 10:44:16,22.43,67.94,1.16.3,FR1,9,3.98,nan,1,Right,Left,4,6,2,0,nan,nan,0.14
4/16/2023 10:51:00,22.44,67.74,1.16.3,FR1,9,3.98,nan,1,Left,Left,5,6,2,0,nan,nan,0.06
4/16/2023 10:51:02,22.44,67.72,1.16.3,FR1,9,3.98,2,1,Pellet,Left,5,6,3,0,0.06,428,nan
4/16/2023 10:58:15,22.46,67.67,1.16.3,FR1,9,3.98,nan,1,Left,Left,6,6,3,0,nan,nan,0.10
4/16/2023 10:58:49,22.45,67.80,1.16.3,FR1,9,3.98,2,1,Pellet,Left,6,6,4,0,33.62,467,nan
4/16/2023 11:05:34,22.48,67.80,1.16.3,FR1,9,3.98,nan,1,Right,Left,6,7,4,0,nan,nan,0.06
4/16/2023 11:05:36,22.47,67.79,1.16.3,FR1,9,3.98,nan,1,Left,Left,7,7,4,0,nan,nan,0.06
4/16/2023 11:08:53,22.51,67.65,1.16.3,FR1,9,3.98,nan,1,RightWithPellet,Left,7,8,4,0,nan,nan,0.19
4/16/2023 11:08:54,22.49,67.63,1.16.3,FR1,9,3.98,2,1,Pellet,Left,7,8,5,0,Timed_out,605,nan
4/16/2023 11:08:58,22.50,67.66,1.16.3,FR1,9,3.98,nan,1,LeftinTimeOut,Left,8,8,5,0,nan,nan,nan
4/16/2023 11:13:23,22.51,67.70,1.16.3,FR1,9,3.98,nan,1,Left,Left,9,8,5,0,nan,nan,0.04
4/16/2023 11:13:24,22.49,67.70,1.16.3,FR1,9,3.98,2,1,Pellet,Left,9,8,6,0,0.13,270,nan
4/16/2023 11:13:32,22.49,67.75,1.16.3,FR1,9,3.98,nan,1,Left,Left,10,8,6,0,nan,nan,0.13
4/16/2023 11:13:36,22.49,67.75,1.16.3,FR1,9,3.98,2,1,Pellet,Left,10,8,7,0,1.77,12,nan
4/16/2023 11:14:10,22.50,67.77,1.16.3,FR1,9,3.98,nan,1,Right,Left,10,9,7,0,nan,nan,0.26
4/16/2023 11:17:22,22.51,67.77,1.16.3,FR1,9,3.98,nan,1,Left,Left,11,9,7,0,nan,nan,0.04
4/16/2023 11:17:23,22.51,67.75,1.16.3,FR1,9,3.98,2,1,Pellet,Left,11,9,8,0,0.06,227,nan
4/16/2023 11:17:32,22.51,67.79,1.16.3,FR1,9,3.98,nan,1,Left,Left,12,9,8,0,nan,nan,0.11
4/16/2023 11:17:33,22.53,67.76,1.16.3,FR1,9,3.98,1,1,Pellet,Left,12,9,9,0,0.06,10,nan
4/16/2023 11:33:13,22.50,67.70,1.16.3,FR1,9,3.98,nan,1,Left,Left,13,9,9,0,nan,nan,0.08
4/16/2023 11:33:14,22.50,67.68,1.16.3,FR1,9,3.98,2,1,Pellet,Left,13,9,10,0,0.06,941,nan
4/16/2023 11:34:10,22.49,67.76,1.16.3,FR1,9,3.98,nan,1,Right,Left,13,10,10,0,nan,nan,0.24
4/16/2023 11:40:52,22.50,67.82,1.16.3,FR1,9,3.98,nan,1,Left,Left,14,10,10,0,nan,nan,0.73
4/16/2023 11:40:58,22.48,67.82,1.16.3,FR1,9,3.98,2,1,Pellet,Left,14,10,11,0,4.63,464,nan
4/16/2023 11:41:18,22.50,67.92,1.16.3,FR1,9,3.98,nan,1,Left,Left,15,10,11,0,nan,nan,0.05
4/16/2023 11:41:20,22.50,67.94,1.16.3,FR1,9,3.98,2,1,Pellet,Left,15,10,12,0,0.06,22,nan
4/16/2023 11:41:31,22.48,67.91,1.16.3,FR1,9,3.98,nan,1,Left,Left,16,10,12,0,nan,nan,0.17
4/16/2023 11:41:32,22.50,67.92,1.16.3,FR1,9,3.98,2,1,Pellet,Left,16,10,13,0,0.06,12,nan
4/16/2023 11:49:13,22.55,67.32,1.16.3,FR1,9,3.98,nan,1,Left,Left,17,10,13,0,nan,nan,0.12
4/16/2023 11:49:16,22.54,67.29,1.16.3,FR1,9,3.98,2,1,Pellet,Left,17,10,14,0,1.56,464,nan
4/16/2023 11:49:21,22.54,67.22,1.16.3,FR1,9,3.98,nan,1,LeftinTimeOut,Left,18,10,14,0,nan,nan,nan
4/16/2023 11:49:23,22.55,67.20,1.16.3,FR1,9,3.98,nan,1,Left,Left,19,10,14,0,nan,nan,0.14
4/16/2023 11:49:26,22.54,67.24,1.16.3,FR1,9,3.98,2,1,Pellet,Left,19,10,15,0,0.47,10,nan
4/16/2023 11:49:30,22.56,67.25,1.16.3,FR1,9,3.98,nan,1,LeftinTimeOut,Left,20,10,15,0,nan,nan,nan
4/16/2023 11:49:43,22.56,67.24,1.16.3,FR1,9,3.98,nan,1,Right,Left,20,11,15,0,nan,nan,0.31
4/16/2023 11:49:45,22.54,67.22,1.16.3,FR1,9,3.98,nan,1,Right,Left,20,12,15,0,nan,nan,0.31
4/16/2023 11:49:47,22.55,67.23,1.16.3,FR1,9,3.98,nan,1,Right,Left,20,13,15,0,nan,nan,0.53
4/16/2023 11:50:28,22.55,67.16,1.16.3,FR1,9,3.98,nan,1,Left,Left,21,13,15,0,nan,nan,0.31
4/16/2023 11:50:33,22.54,67.19,1.16.3,FR1,9,3.98,1,1,Pellet,Left,21,13,16,0,4.29,67,nan
4/16/2023 11:57:29,22.56,67.22,1.16.3,FR1,9,3.98,nan,1,Left,Left,22,13,16,0,nan,nan,0.31
4/16/2023 11:57:30,22.57,67.21,1.16.3,FR1,9,3.98,1,1,Pellet,Left,22,13,17,0,0.88,417,nan
4/16/2023 11:57:37,22.57,67.23,1.16.3,FR1,9,3.98,nan,1,Left,Left,23,13,17,0,nan,nan,0.21
4/16/2023 11:57:49,22.56,67.31,1.16.3,FR1,9,3.98,1,1,Pellet,Left,23,13,18,0,10.93,19,nan
4/16/2023 11:58:07,22.56,67.28,1.16.3,FR1,9,3.98,nan,1,Right,Left,23,14,18,0,nan,nan,0.00
4/16/2023 11:58:08,22.57,67.28,1.16.3,FR1,9,3.98,nan,1,Left,Left,24,14,18,0,nan,nan,0.02
4/16/2023 11:58:10,22.55,67.26,1.16.3,FR1,9,3.98,2,1,Pellet,Left,24,14,19,0,0.40,20,nan
4/16/2023 12:14:14,22.45,66.39,1.16.3,FR1,9,3.98,nan,1,Left,Left,25,14,19,0,nan,nan,0.01
4/16/2023 12:14:16,22.48,66.37,1.16.3,FR1,9,3.98,1,1,Pellet,Left,25,14,20,0,0.54,967,nan
