MM:DD:YYYY hh:mm:ss,Temp,Humidity,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/20/2023 10:31:40,21.99,64.07,1.16.3,FR1,19,4.19,nan,1,Right,Left,0,1,0,0,nan,nan,5.89
4/20/2023 10:33:48,22.06,64.03,1.16.3,FR1,19,4.19,nan,1,Left,Left,1,1,0,0,nan,nan,0.19
4/20/2023 10:35:19,22.14,63.66,1.16.3,FR1,19,4.19,1,1,Pellet,Left,1,1,1,0,Timed_out,nan,nan
4/20/2023 10:35:23,22.15,63.68,1.16.3,FR1,19,4.19,nan,1,LeftinTimeOut,Left,2,1,1,0,nan,nan,nan
4/20/2023 10:37:17,22.19,63.42,1.16.3,FR1,19,4.19,nan,1,Right,Left,2,2,1,0,nan,nan,0.15
4/20/2023 10:37:40,22.21,63.34,1.16.3,FR1,19,4.19,nan,1,Right,Left,2,3,1,0,nan,nan,0.01
4/20/2023 10:38:06,22.19,63.37,1.16.3,FR1,19,4.20,nan,1,Right,Left,2,4,1,0,nan,nan,0.16
4/20/2023 10:38:12,22.20,63.37,1.16.3,FR1,19,4.19,nan,1,Left,Left,3,4,1,0,nan,nan,0.09
4/20/2023 10:38:13,22.21,63.36,1.16.3,FR1,19,4.19,2,1,Pellet,Left,3,4,2,0,0.06,175,nan
4/20/2023 10:39:24,22.22,63.39,1.16.3,FR1,19,4.19,nan,1,Right,Left,3,5,2,0,nan,nan,0.01
4/20/2023 10:41:27,22.24,63.45,1.16.3,FR1,19,4.18,nan,1,Right,Left,3,6,2,0,nan,nan,0.52
4/20/2023 10:41:31,22.24,63.44,1.16.3,FR1,19,4.19,nan,1,Right,Left,3,7,2,0,nan,nan,0.83
4/20/2023 10:41:42,22.24,63.60,1.16.3,FR1,19,4.19,nan,1,Left,Left,4,7,2,0,nan,nan,0.54
4/20/2023 10:41:44,22.23,63.59,1.16.3,FR1,19,4.19,1,1,Pellet,Left,4,7,3,0,0.54,211,nan
4/20/2023 10:41:54,22.25,63.65,1.16.3,FR1,19,4.19,nan,1,Left,Left,5,7,3,0,nan,nan,0.19
4/20/2023 10:42:35,22.27,63.67,1.16.3,FR1,19,4.19,2,1,Pellet,Left,5,7,4,0,40.47,51,nan
4/20/2023 10:44:07,22.30,63.35,1.16.3,FR1,19,4.19,nan,1,Right,Left,5,8,4,0,nan,nan,0.27
4/20/2023 10:53:00,22.27,63.01,1.16.3,FR1,19,4.19,nan,1,Left,Left,6,8,4,0,nan,nan,0.19
4/20/2023 10:53:01,22.27,63.03,1.16.3,FR1,19,4.20,1,1,Pellet,Left,6,8,5,0,0.13,626,nan
4/20/2023 10:53:06,22.27,63.03,1.16.3,FR1,19,4.20,nan,1,RightinTimeout,Left,6,9,5,0,nan,nan,0.67
4/20/2023 11:04:26,22.27,63.09,1.16.3,FR1,19,4.19,nan,1,Left,Left,7,9,5,0,nan,nan,0.08
4/20/2023 11:04:27,22.29,63.10,1.16.3,FR1,19,4.19,2,1,Pellet,Left,7,9,6,0,0.06,686,nan
4/20/2023 11:04:47,22.27,63.10,1.16.3,FR1,19,4.19,nan,1,Left,Left,8,9,6,0,nan,nan,0.51
4/20/2023 11:10:01,22.32,62.55,1.16.3,FR1,19,4.19,2,1,Pellet,Left,8,9,7,0,Timed_out,334,nan
4/20/2023 11:12:41,22.27,62.42,1.16.3,FR1,19,4.18,nan,1,Right,Left,8,10,7,0,nan,nan,0.18
4/20/2023 11:12:42,22.28,62.39,1.16.3,FR1,19,4.18,nan,1,Left,Left,9,10,7,0,nan,nan,0.06
4/20/2023 11:16:02,22.30,62.23,1.16.3,FR1,19,4.19,2,1,Pellet,Left,9,10,8,0,Timed_out,361,nan
4/20/2023 11:26:59,22.19,62.29,1.16.3,FR1,19,4.19,nan,1,Right,Left,9,11,8,0,nan,nan,0.58
4/20/2023 11:28:57,22.17,62.29,1.16.3,FR1,19,4.19,nan,1,Right,Left,9,12,8,0,nan,nan,0.04
4/20/2023 11:29:03,22.19,62.28,1.16.3,FR1,19,4.18,nan,1,Right,Left,9,13,8,0,nan,nan,0.16
4/20/2023 11:29:30,22.17,62.37,1.16.3,FR1,19,4.19,nan,1,Left,Left,10,13,8,0,nan,nan,0.06
4/20/2023 11:29:30,22.18,62.34,1.16.3,FR1,19,4.18,nan,1,LeftDuringDispense,Left,11,13,8,0,nan,nan,0.08
4/20/2023 11:29:33,22.18,62.34,1.16.3,FR1,19,4.18,3,1,Pellet,Left,11,13,9,0,0.06,811,nan
4/20/2023 11:30:03,22.18,62.44,1.16.3,FR1,19,4.19,nan,1,Left,Left,12,13,9,0,nan,nan,0.02
4/20/2023 11:35:16,22.21,62.14,1.16.3,FR1,19,4.19,1,1,Pellet,Left,12,13,10,0,Timed_out,343,nan
4/20/2023 11:53:49,22.03,62.57,1.16.3,FR1,19,4.20,nan,1,Left,Left,13,13,10,0,nan,nan,0.08
4/20/2023 11:53:56,22.02,62.57,1.16.3,FR1,19,4.19,2,1,Pellet,Left,13,13,11,0,3.41,1120,nan
4/20/2023 11:56:19,22.03,62.66,1.16.3,FR1,19,4.18,nan,1,Right,Left,13,14,11,0,nan,nan,0.10
4/20/2023 11:56:23,22.03,62.68,1.16.3,FR1,19,4.18,nan,1,Right,Left,13,15,11,0,nan,nan,0.05
4/20/2023 11:56:40,22.04,62.70,1.16.3,FR1,19,4.19,nan,1,Left,Left,14,15,11,0,nan,nan,0.42
4/20/2023 11:56:41,22.04,62.70,1.16.3,FR1,19,4.18,1,1,Pellet,Left,14,15,12,0,0.61,165,nan
4/20/2023 11:57:41,22.02,62.72,1.16.3,FR1,19,4.18,nan,1,Left,Left,15,15,12,0,nan,nan,0.26
4/20/2023 11:57:42,22.05,62.72,1.16.3,FR1,19,4.18,2,1,Pellet,Left,15,15,13,0,1.02,61,nan
4/20/2023 11:58:52,22.05,62.72,1.16.3,FR1,19,4.18,nan,1,Right,Left,15,16,13,0,nan,nan,0.17
4/20/2023 14:21:52,21.74,63.52,1.16.3,FR1,19,4.18,nan,1,Left,Left,16,16,13,0,nan,nan,0.31
4/20/2023 14:21:53,21.75,63.49,1.16.3,FR1,19,4.18,1,1,Pellet,Left,16,16,14,0,0.20,8651,nan
4/20/2023 14:26:34,21.77,63.43,1.16.3,FR1,19,4.18,nan,1,Right,Left,16,17,14,0,nan,nan,0.11
4/20/2023 14:32:18,21.77,63.41,1.16.3,FR1,19,4.18,nan,1,Right,Left,16,18,14,0,nan,nan,0.20
4/20/2023 16:10:52,21.76,63.54,1.16.3,FR1,19,4.18,nan,1,Left,Left,17,18,14,0,nan,nan,0.09
4/20/2023 16:10:53,21.77,63.50,1.16.3,FR1,19,4.18,1,1,Pellet,Left,17,18,15,0,0.13,6540,nan
4/20/2023 16:11:09,21.77,63.55,1.16.3,FR1,19,4.17,nan,1,Left,Left,18,18,15,0,nan,nan,0.03
4/20/2023 16:11:10,21.76,63.56,1.16.3,FR1,19,4.18,1,1,Pellet,Left,18,18,16,0,0.27,17,nan
4/20/2023 17:40:00,21.77,63.73,1.16.3,FR1,19,4.18,nan,1,Left,Left,19,18,16,0,nan,nan,0.07
4/20/2023 17:40:01,21.77,63.72,1.16.3,FR1,19,4.18,nan,1,LeftDuringDispense,Left,20,18,16,0,nan,nan,0.12
4/20/2023 17:41:37,21.81,63.72,1.16.3,FR1,19,4.16,2,1,Pellet,Left,20,18,17,0,Timed_out,5427,nan
4/20/2023 17:59:41,21.82,63.62,1.16.3,FR1,19,4.17,nan,1,Right,Left,20,19,17,0,nan,nan,0.05
4/20/2023 17:59:44,21.83,63.60,1.16.3,FR1,19,4.17,nan,1,Right,Left,20,20,17,0,nan,nan,1.27
4/20/2023 17:59:49,21.81,63.61,1.16.3,FR1,19,4.17,nan,1,Left,Left,21,20,17,0,nan,nan,0.13
4/20/2023 17:59:55,21.82,63.61,1.16.3,FR1,19,4.17,4,1,Pellet,Left,21,20,18,0,0.74,1098,nan
4/20/2023 18:00:09,21.84,63.64,1.16.3,FR1,19,4.17,nan,1,Left,Left,22,20,18,0,nan,nan,0.12
4/20/2023 18:00:10,21.82,63.61,1.16.3,FR1,19,4.17,1,1,Pellet,Left,22,20,19,0,0.13,15,nan
4/20/2023 18:01:03,21.83,63.61,1.16.3,FR1,19,4.17,nan,1,Left,Left,23,20,19,0,nan,nan,0.05
4/20/2023 18:01:04,21.84,63.64,1.16.3,FR1,19,4.16,1,1,Pellet,Left,23,20,20,0,0.54,54,nan
4/20/2023 18:04:10,21.86,63.53,1.16.3,FR1,19,4.16,nan,1,Left,Left,24,20,20,0,nan,nan,0.16
4/20/2023 18:04:11,21.86,63.51,1.16.3,FR1,19,4.17,1,1,Pellet,Left,24,20,21,0,0.27,187,nan
4/20/2023 18:58:10,21.77,63.36,1.16.3,FR1,19,4.17,nan,1,Left,Left,25,20,21,0,nan,nan,0.15
4/20/2023 18:58:11,21.77,63.35,1.16.3,FR1,19,4.17,2,1,Pellet,Left,25,20,22,0,0.13,3240,nan
4/20/2023 19:10:10,21.76,63.36,1.16.3,FR1,19,4.17,nan,1,Left,Left,26,20,22,0,nan,nan,0.37
4/20/2023 19:10:10,21.78,63.36,1.16.3,FR1,19,4.16,1,1,Pellet,Left,26,20,23,0,0.13,719,nan
4/20/2023 19:29:00,21.76,63.39,1.16.3,FR1,19,4.17,nan,1,Left,Left,27,20,23,0,nan,nan,0.31
4/20/2023 19:29:21,21.77,63.43,1.16.3,FR1,19,4.16,2,1,Pellet,Left,27,20,24,0,18.76,1151,nan
4/20/2023 19:29:33,21.77,63.39,1.16.3,FR1,19,4.17,nan,1,Left,Left,28,20,24,0,nan,nan,0.19
