MM:DD:YYYY hh:mm:ss,Temp,Humidity,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/24/2023 10:35:20,21.91,66.28,1.16.3,ClosedEcon_PR1,7,3.96,nan,1,Right,Left,0,1,0,0,nan,nan,17.90
4/24/2023 10:36:34,21.96,63.84,1.16.3,ClosedEcon_PR1,7,3.97,nan,1,Left,Left,1,1,0,0,nan,nan,0.31
4/24/2023 10:38:15,22.06,62.79,1.16.3,ClosedEcon_PR1,7,3.97,nan,1,LeftWithPellet,Left,2,1,0,1,nan,nan,0.08
4/24/2023 10:38:23,22.05,62.79,1.16.3,ClosedEcon_PR1,7,3.97,nan,1,LeftWithPellet,Left,3,1,0,1,nan,nan,0.13
4/24/2023 10:38:23,22.07,62.80,1.16.3,ClosedEcon_PR1,7,3.97,2,1,Pellet,Left,3,1,1,1,Timed_out,nan,nan
4/24/2023 10:47:15,22.12,62.46,1.16.3,ClosedEcon_PR1,7,3.97,nan,3,Left,Left,4,1,1,1,nan,nan,0.26
4/24/2023 10:52:02,22.13,62.35,1.16.3,ClosedEcon_PR1,7,3.96,nan,3,Left,Left,5,1,1,1,nan,nan,0.61
4/24/2023 10:52:04,22.13,62.31,1.16.3,ClosedEcon_PR1,7,3.96,nan,3,Right,Left,5,2,1,1,nan,nan,0.41
4/24/2023 10:52:52,22.14,62.38,1.16.3,ClosedEcon_PR1,7,3.96,nan,3,Right,Left,5,3,1,1,nan,nan,0.18
4/24/2023 10:53:44,22.14,62.46,1.16.3,ClosedEcon_PR1,7,3.96,nan,3,Left,Left,6,3,1,1,nan,nan,0.17
4/24/2023 10:55:44,22.19,62.00,1.16.3,ClosedEcon_PR1,7,3.96,nan,3,LeftWithPellet,Left,7,3,1,2,nan,nan,0.19
