MM:DD:YYYY hh:mm:ss,Temp,Humidity,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/14/2023 9:21:22,22.12,66.83,1.16.3,FR1,1,4.06,nan,1,Right,Left,0,1,0,0,nan,nan,17.81
4/14/2023 9:26:50,22.23,66.72,1.16.3,FR1,1,4.07,nan,1,Left,Left,1,1,0,0,nan,nan,0.06
4/14/2023 9:27:45,22.27,66.97,1.16.3,FR1,1,4.06,nan,1,LeftWithPellet,Left,2,1,0,0,nan,nan,0.29
4/14/2023 9:28:21,22.31,66.76,1.16.3,FR1,1,4.06,nan,1,LeftWithPellet,Left,3,1,0,0,nan,nan,0.00
4/14/2023 9:28:58,22.33,66.56,1.16.3,FR1,1,4.07,nan,1,LeftWithPellet,Left,4,1,0,0,nan,nan,0.18
4/14/2023 9:30:26,22.33,66.28,1.16.3,FR1,1,4.06,nan,1,RightWithPellet,Left,4,2,0,0,nan,nan,0.43
4/14/2023 9:32:00,22.32,66.20,1.16.3,FR1,1,4.06,1,1,Pellet,Left,4,2,1,0,Timed_out,nan,nan
4/14/2023 9:32:30,22.32,66.23,1.16.3,FR1,1,4.06,nan,1,Left,Left,5,2,1,0,nan,nan,0.27
4/14/2023 9:32:31,22.34,66.17,1.16.3,FR1,1,4.06,nan,1,LeftDuringDispense,Left,6,2,1,0,nan,nan,0.07
4/14/2023 9:32:32,22.32,66.17,1.16.3,FR1,1,4.06,1,1,Pellet,Left,6,2,2,0,0.74,32,nan
4/14/2023 9:39:14,22.31,66.26,1.16.3,FR1,1,4.07,nan,1,Left,Left,7,2,2,0,nan,nan,0.25
4/14/2023 9:39:28,22.32,66.29,1.16.3,FR1,1,4.06,nan,1,RightWithPellet,Left,7,3,2,0,nan,nan,0.18
4/14/2023 9:42:46,22.39,65.93,1.16.3,FR1,1,4.06,nan,1,RightWithPellet,Left,7,4,2,0,nan,nan,0.20
4/14/2023 9:43:36,22.39,65.92,1.16.3,FR1,1,4.06,1,1,Pellet,Left,7,4,3,0,Timed_out,664,nan
4/14/2023 9:49:17,22.36,65.98,1.16.3,FR1,1,4.06,nan,1,Left,Left,8,4,3,0,nan,nan,0.03
4/14/2023 9:49:18,22.36,65.96,1.16.3,FR1,1,4.06,1,1,Pellet,Left,8,4,4,0,0.40,342,nan
4/14/2023 9:55:10,22.37,65.93,1.16.3,FR1,1,4.07,nan,1,Right,Left,8,5,4,0,nan,nan,0.17
4/14/2023 9:55:11,22.38,65.93,1.16.3,FR1,1,4.07,nan,1,Right,Left,8,6,4,0,nan,nan,0.24
4/14/2023 9:55:12,22.39,65.89,1.16.3,FR1,1,4.06,nan,1,Left,Left,9,6,4,0,nan,nan,0.01
4/14/2023 9:55:13,22.40,65.93,1.16.3,FR1,1,4.06,nan,1,LeftDuringDispense,Left,10,6,4,0,nan,nan,0.11
4/14/2023 9:55:15,22.39,65.92,1.16.3,FR1,1,4.06,nan,1,LeftDuringDispense,Left,11,6,4,0,nan,nan,0.14
4/14/2023 9:55:18,22.37,65.91,1.16.3,FR1,1,4.06,nan,1,LeftDuringDispense,Left,12,6,4,0,nan,nan,0.16
4/14/2023 9:55:20,22.38,65.89,1.16.3,FR1,1,4.05,3,1,Pellet,Left,12,6,5,0,1.63,362,nan
4/14/2023 9:55:50,22.38,65.96,1.16.3,FR1,1,4.06,nan,1,Right,Left,12,7,5,0,nan,nan,0.20
4/14/2023 10:02:59,22.40,66.18,1.16.3,FR1,1,4.07,nan,1,Right,Left,12,8,5,0,nan,nan,0.04
4/14/2023 10:03:02,22.39,66.19,1.16.3,FR1,1,4.06,nan,1,Left,Left,13,8,5,0,nan,nan,0.13
4/14/2023 10:10:16,22.44,65.73,1.16.3,FR1,1,4.06,2,1,Pellet,Left,13,8,6,0,Timed_out,896,nan
4/14/2023 10:17:01,22.41,65.76,1.16.3,FR1,1,4.06,nan,1,Left,Left,14,8,6,0,nan,nan,0.05
4/14/2023 10:17:02,22.41,65.76,1.16.3,FR1,1,4.06,2,1,Pellet,Left,14,8,7,0,0.27,406,nan
4/14/2023 10:17:16,22.42,65.76,1.16.3,FR1,1,4.06,nan,1,Left,Left,15,8,7,0,nan,nan,0.02
4/14/2023 10:17:18,22.40,65.76,1.16.3,FR1,1,4.06,2,1,Pellet,Left,15,8,8,0,0.27,16,nan
4/14/2023 10:20:18,22.41,65.79,1.16.3,FR1,1,4.06,nan,1,Left,Left,16,8,8,0,nan,nan,0.07
4/14/2023 10:20:25,22.41,65.82,1.16.3,FR1,1,4.06,1,1,Pellet,Left,16,8,9,0,6.61,187,nan
4/14/2023 10:20:50,22.43,65.78,1.16.3,FR1,1,4.06,nan,1,Left,Left,17,8,9,0,nan,nan,0.11
4/14/2023 10:21:13,22.43,65.77,1.16.3,FR1,1,4.05,2,1,Pellet,Left,17,8,10,0,19.54,48,nan
4/14/2023 10:27:17,22.41,65.51,1.16.3,FR1,1,4.06,nan,1,Left,Left,18,8,10,0,nan,nan,0.33
