MM:DD:YYYY hh:mm:ss,New Column 1,New Column 2,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/22/2023 11:17:32,,,1.16.3,ClosedEcon_PR1,5,4.08,,1,Right,Left,0,1,0,0,,,17.6
4/22/2023 11:21:25,,,1.16.3,ClosedEcon_PR1,5,4.07,,1,Left,Left,1,1,0,0,,,0.23
4/22/2023 11:21:28,,,1.16.3,ClosedEcon_PR1,5,4.07,,1,LeftDuringDispense,Left,2,1,0,1,,,0.17
4/22/2023 11:21:31,,,1.16.3,ClosedEcon_PR1,5,4.07,,1,LeftWithPellet,Left,3,1,0,1,,,0.12
4/22/2023 11:26:37,,,1.16.3,ClosedEcon_PR1,5,4.08,3.0,1,Pellet,Left,3,1,1,1,Timed_out,,
4/22/2023 11:31:30,,,1.16.3,ClosedEcon_PR1,5,4.08,,3,Left,Left,4,1,1,1,,,0.29
4/22/2023 11:31:59,,,1.16.3,ClosedEcon_PR1,5,4.08,,3,Left,Left,5,1,1,1,,,0.47
4/22/2023 11:33:08,,,1.16.3,ClosedEcon_PR1,5,4.08,,3,Right,Left,5,2,1,1,,,0.39
4/22/2023 11:35:01,,,1.16.3,ClosedEcon_PR1,5,4.07,,3,Left,Left,6,2,1,1,,,0.18
4/22/2023 11:35:10,,,1.16.3,ClosedEcon_PR1,5,4.07,1.0,3,Pellet,Left,6,2,2,2,8.26,513.0,
4/22/2023 11:35:30,,,1.16.3,ClosedEcon_PR1,5,4.07,,5,Left,Left,7,2,2,2,,,0.13
4/22/2023 11:42:47,,,1.16.3,ClosedEcon_PR1,5,4.07,,5,Left,Left,8,2,2,2,,,0.16
4/22/2023 11:43:37,,,1.16.3,ClosedEcon_PR1,5,4.07,,5,Left,Left,9,2,2,2,,,0.16
4/22/2023 11:43:39,,,1.16.3,ClosedEcon_PR1,5,4.08,,5,Left,Left,10,2,2,2,,,0.26
4/22/2023 11:43:40,,,1.16.3,ClosedEcon_PR1,5,4.07,,5,Left,Left,11,2,2,2,,,0.3
4/22/2023 11:43:43,,,1.16.3,ClosedEcon_PR1,5,4.07,2.0,5,Pellet,Left,11,2,3,3,1.11,513.0,
4/22/2023 11:50:30,,,1.16.3,ClosedEcon_PR1,5,4.08,,7,Left,Left,12,2,3,3,,,0.19
4/22/2023 11:50:47,,,1.16.3,ClosedEcon_PR1,5,4.07,,7,Left,Left,13,2,3,3,,,0.08
4/22/2023 11:50:48,,,1.16.3,ClosedEcon_PR1,5,4.07,,7,Left,Left,14,2,3,3,,,0.12
4/22/2023 11:50:50,,,1.16.3,ClosedEcon_PR1,5,4.07,,7,Left,Left,15,2,3,3,,,0.14
4/22/2023 11:50:52,,,1.16.3,ClosedEcon_PR1,5,4.08,,7,Left,Left,16,2,3,3,,,0.13
4/22/2023 11:50:54,,,1.16.3,ClosedEcon_PR1,5,4.07,,7,Left,Left,17,2,3,3,,,0.09
4/22/2023 11:50:57,,,1.16.3,ClosedEcon_PR1,5,4.08,,7,Left,Left,18,2,3,3,,,0.11
4/22/2023 11:51:06,,,1.16.3,ClosedEcon_PR1,5,4.07,2.0,7,Pellet,Left,18,2,4,4,6.21,443.0,
4/22/2023 11:58:03,,,1.16.3,ClosedEcon_PR1,5,4.07,,9,Right,Left,18,3,4,4,,,0.01
4/22/2023 11:58:05,,,1.16.3,ClosedEcon_PR1,5,4.07,,9,Right,Left,18,4,4,4,,,0.52
4/22/2023 12:02:37,,,1.16.3,ClosedEcon_PR1,5,4.07,,9,Left,Left,19,4,4,4,,,0.17
4/22/2023 12:02:46,,,1.16.3,ClosedEcon_PR1,5,4.07,,9,Left,Left,20,4,4,4,,,0.15
4/22/2023 12:02:49,,,1.16.3,ClosedEcon_PR1,5,4.08,,9,Left,Left,21,4,4,4,,,0.15
4/22/2023 12:04:09,,,1.16.3,ClosedEcon_PR1,5,4.07,,9,Left,Left,22,4,4,4,,,0.13
4/22/2023 12:04:10,,,1.16.3,ClosedEcon_PR1,5,4.07,,9,Left,Left,23,4,4,4,,,0.19
4/22/2023 12:04:13,,,1.16.3,ClosedEcon_PR1,5,4.07,,9,Left,Left,24,4,4,4,,,0.14
4/22/2023 12:04:15,,,1.16.3,ClosedEcon_PR1,5,4.07,,9,Left,Left,25,4,4,4,,,0.12
4/22/2023 12:04:16,,,1.16.3,ClosedEcon_PR1,5,4.07,,9,Left,Left,26,4,4,4,,,0.13
4/22/2023 12:04:22,,,1.16.3,ClosedEcon_PR1,5,4.07,,9,Left,Left,27,4,4,4,,,0.21
4/22/2023 12:04:26,,,1.16.3,ClosedEcon_PR1,5,4.07,2.0,9,Pellet,Left,27,4,5,5,0.52,800.0,
4/22/2023 12:08:26,,,1.16.3,ClosedEcon_PR1,5,4.08,,11,Right,Left,27,5,5,5,,,0.15
4/22/2023 12:08:39,,,1.16.3,ClosedEcon_PR1,5,4.08,,11,Left,Left,28,5,5,5,,,0.18
4/22/2023 12:13:57,,,1.16.3,ClosedEcon_PR1,5,4.07,,11,Left,Left,29,5,5,5,,,0.17
4/22/2023 12:14:02,,,1.16.3,ClosedEcon_PR1,5,4.07,,11,Left,Left,30,5,5,5,,,0.3
4/22/2023 12:14:08,,,1.16.3,ClosedEcon_PR1,5,4.07,,11,Left,Left,31,5,5,5,,,0.3
4/22/2023 12:14:14,,,1.16.3,ClosedEcon_PR1,5,4.07,,11,Left,Left,32,5,5,5,,,0.3
4/22/2023 12:14:14,,,1.16.3,ClosedEcon_PR1,5,4.07,,11,Left,Left,33,5,5,5,,,0.03
4/22/2023 12:14:16,,,1.16.3,ClosedEcon_PR1,5,4.07,,11,Left,Left,34,5,5,5,,,0.41
4/22/2023 12:14:18,,,1.16.3,ClosedEcon_PR1,5,4.07,,11,Left,Left,35,5,5,5,,,0.2
4/22/2023 12:14:24,,,1.16.3,ClosedEcon_PR1,5,4.07,,11,Left,Left,36,5,5,5,,,0.34
4/22/2023 12:20:50,,,1.16.3,ClosedEcon_PR1,5,4.07,,11,Left,Left,37,5,5,5,,,0.29
4/22/2023 12:20:52,,,1.16.3,ClosedEcon_PR1,5,4.07,,11,Left,Left,38,5,5,5,,,0.29
4/22/2023 12:20:53,,,1.16.3,ClosedEcon_PR1,5,4.08,2.0,11,Pellet,Left,38,5,6,6,0.33,987.0,
4/22/2023 12:21:05,,,1.16.3,ClosedEcon_PR1,5,4.07,,13,Left,Left,39,5,6,6,,,0.14
4/22/2023 12:21:06,,,1.16.3,ClosedEcon_PR1,5,4.07,,13,Left,Left,40,5,6,6,,,0.26
4/22/2023 12:21:09,,,1.16.3,ClosedEcon_PR1,5,4.07,,13,Left,Left,41,5,6,6,,,0.22
4/22/2023 12:21:11,,,1.16.3,ClosedEcon_PR1,5,4.07,,13,Left,Left,42,5,6,6,,,0.26
4/22/2023 12:21:12,,,1.16.3,ClosedEcon_PR1,5,4.08,,13,Left,Left,43,5,6,6,,,0.16
4/22/2023 12:22:40,,,1.16.3,ClosedEcon_PR1,5,4.07,,13,Left,Left,44,5,6,6,,,0.15
4/22/2023 12:35:11,,,1.16.3,ClosedEcon_PR1,5,4.07,,13,Left,Left,45,5,6,6,,,0.13
4/22/2023 12:35:13,,,1.16.3,ClosedEcon_PR1,5,4.07,,13,Left,Left,46,5,6,6,,,0.2
4/22/2023 12:35:14,,,1.16.3,ClosedEcon_PR1,5,4.07,,13,Left,Left,47,5,6,6,,,0.29
4/22/2023 12:35:15,,,1.16.3,ClosedEcon_PR1,5,4.07,,13,Left,Left,48,5,6,6,,,0.19
4/22/2023 12:35:17,,,1.16.3,ClosedEcon_PR1,5,4.07,,13,Left,Left,49,5,6,6,,,0.36
4/22/2023 12:35:19,,,1.16.3,ClosedEcon_PR1,5,4.07,,13,Left,Left,50,5,6,6,,,0.34
4/22/2023 12:35:24,,,1.16.3,ClosedEcon_PR1,5,4.07,,13,Left,Left,51,5,6,6,,,0.12
4/22/2023 12:35:25,,,1.16.3,ClosedEcon_PR1,5,4.07,,13,LeftDuringDispense,Left,52,5,6,7,,,0.5
4/22/2023 12:35:25,,,1.16.3,ClosedEcon_PR1,5,4.07,1.0,13,Pellet,Left,52,5,7,7,0.39,872.0,
4/22/2023 12:35:35,,,1.16.3,ClosedEcon_PR1,5,4.07,,15,Left,Left,53,5,7,7,,,0.1
4/22/2023 12:35:36,,,1.16.3,ClosedEcon_PR1,5,4.07,,15,Left,Left,54,5,7,7,,,0.04
4/22/2023 12:35:38,,,1.16.3,ClosedEcon_PR1,5,4.07,,15,Left,Left,55,5,7,7,,,0.23
4/22/2023 12:39:45,,,1.16.3,ClosedEcon_PR1,5,4.07,,15,Left,Left,56,5,7,7,,,0.21
4/22/2023 12:39:46,,,1.16.3,ClosedEcon_PR1,5,4.07,,15,Left,Left,57,5,7,7,,,0.27
4/22/2023 12:46:07,,,1.16.3,ClosedEcon_PR1,5,4.07,,15,Left,Left,58,5,7,7,,,0.26
4/22/2023 12:46:08,,,1.16.3,ClosedEcon_PR1,5,4.08,,15,Left,Left,59,5,7,7,,,0.28
4/22/2023 12:46:09,,,1.16.3,ClosedEcon_PR1,5,4.07,,15,Left,Left,60,5,7,7,,,0.3
4/22/2023 12:46:10,,,1.16.3,ClosedEcon_PR1,5,4.07,,15,Left,Left,61,5,7,7,,,0.0
4/22/2023 12:46:13,,,1.16.3,ClosedEcon_PR1,5,4.07,,15,Left,Left,62,5,7,7,,,0.16
4/22/2023 12:46:17,,,1.16.3,ClosedEcon_PR1,5,4.07,,15,Left,Left,63,5,7,7,,,0.19
4/22/2023 12:46:18,,,1.16.3,ClosedEcon_PR1,5,4.07,,15,Left,Left,64,5,7,7,,,0.0
