MM:DD:YYYY hh:mm:ss,New Column 1,New Column 2,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/2/2023 10:20:42,,,1.16.3,Free_feed,5,3.91,,0,LeftWithPellet,Left,1,0,0,0,,,0.04
4/2/2023 10:21:19,,,1.16.3,Free_feed,5,3.91,1.0,0,Pellet,Left,1,0,1,0,Timed_out,,
4/2/2023 10:27:05,,,1.16.3,Free_feed,5,3.91,,0,LeftWithPellet,Left,2,0,1,0,,,0.1
4/2/2023 10:27:27,,,1.16.3,Free_feed,5,3.91,2.0,0,Pellet,Left,2,0,2,0,Timed_out,368.0,
4/2/2023 10:27:45,,,1.16.3,Free_feed,5,3.91,1.0,0,Pellet,Left,2,0,3,0,11.53,18.0,
4/2/2023 10:28:39,,,1.16.3,Free_feed,5,3.91,1.0,0,Pellet,Left,2,0,4,0,47.54,54.0,
4/2/2023 12:11:39,,,1.16.3,Free_feed,5,3.91,1.0,0,Pellet,Left,2,0,5,0,Timed_out,6180.0,
4/2/2023 12:12:01,,,1.16.3,Free_feed,5,3.91,1.0,0,Pellet,Left,2,0,6,0,16.24,22.0,
4/2/2023 12:12:23,,,1.16.3,Free_feed,5,3.91,1.0,0,Pellet,Left,2,0,7,0,14.74,22.0,
4/2/2023 12:12:24,,,1.16.3,Free_feed,5,3.91,1.0,0,Pellet,Left,2,0,8,0,0.27,1.0,
4/2/2023 12:12:52,,,1.16.3,Free_feed,5,3.91,1.0,0,Pellet,Left,2,0,9,0,21.93,28.0,
4/2/2023 12:13:17,,,1.16.3,Free_feed,5,3.91,1.0,0,Pellet,Left,2,0,10,0,18.02,25.0,
4/2/2023 12:13:18,,,1.16.3,Free_feed,5,3.9,1.0,0,Pellet,Left,2,0,11,0,0.06,1.0,
4/2/2023 12:13:19,,,1.16.3,Free_feed,5,3.91,1.0,0,Pellet,Left,2,0,12,0,0.06,1.0,
