MM:DD:YYYY hh:mm:ss,Temp,Humidity,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
4/19/2023 10:46:38,21.91,65.97,1.16.3,FR1,17,3.82,nan,1,Right,Left,0,1,0,0,nan,nan,17.24
4/19/2023 10:52:57,22.03,64.98,1.16.3,FR1,17,3.81,nan,1,Left,Left,1,1,0,0,nan,nan,0.69
4/19/2023 11:00:25,22.07,64.56,1.16.3,FR1,17,3.80,1,1,Pellet,Left,1,1,1,0,Timed_out,nan,nan
4/19/2023 11:05:01,22.05,64.46,1.16.3,FR1,17,3.81,nan,1,Left,Left,2,1,1,0,nan,nan,0.43
4/19/2023 11:05:54,22.08,64.39,1.16.3,FR1,17,3.81,nan,1,RightWithPellet,Left,2,2,1,0,nan,nan,0.12
4/19/2023 11:06:09,22.10,64.23,1.16.3,FR1,17,3.80,nan,1,LeftWithPellet,Left,3,2,1,0,nan,nan,0.40
4/19/2023 11:10:02,22.09,64.35,1.16.3,FR1,17,3.81,nan,1,LeftWithPellet,Left,4,2,1,0,nan,nan,0.10
4/19/2023 11:10:04,22.09,64.30,1.16.3,FR1,17,3.81,1,1,Pellet,Left,4,2,2,0,Timed_out,579,nan
4/19/2023 11:22:48,22.04,64.37,1.16.3,FR1,17,3.81,nan,1,Right,Left,4,3,2,0,nan,nan,0.37
4/19/2023 11:22:58,22.04,64.41,1.16.3,FR1,17,3.80,nan,1,Left,Left,5,3,2,0,nan,nan,0.34
4/19/2023 11:25:02,22.10,64.23,1.16.3,FR1,17,3.81,nan,1,LeftWithPellet,Left,6,3,2,0,nan,nan,0.56
4/19/2023 11:31:54,22.06,64.26,1.16.3,FR1,17,3.81,nan,1,LeftWithPellet,Left,7,3,2,0,nan,nan,0.11
4/19/2023 11:32:44,22.07,64.59,1.16.3,FR1,17,3.80,2,1,Pellet,Left,7,3,3,0,Timed_out,1360,nan
4/19/2023 11:42:05,22.08,64.33,1.16.3,FR1,17,3.81,nan,1,Left,Left,8,3,3,0,nan,nan,0.10
4/19/2023 11:42:07,22.09,64.32,1.16.3,FR1,17,3.81,1,1,Pellet,Left,8,3,4,0,0.20,562,nan
4/19/2023 11:42:35,22.07,64.28,1.16.3,FR1,17,3.80,nan,1,Left,Left,9,3,4,0,nan,nan,0.31
4/19/2023 11:42:39,22.09,64.31,1.16.3,FR1,17,3.80,nan,1,LeftWithPellet,Left,10,3,4,0,nan,nan,0.03
4/19/2023 11:47:31,22.11,64.21,1.16.3,FR1,17,3.81,1,1,Pellet,Left,10,3,5,0,Timed_out,325,nan
4/19/2023 12:00:09,22.09,64.53,1.16.3,FR1,17,3.80,nan,1,Left,Left,11,3,5,0,nan,nan,0.45
4/19/2023 12:00:10,22.06,64.69,1.16.3,FR1,17,3.80,1,1,Pellet,Left,11,3,6,0,0.74,759,nan
